"key","message","comment","context"
"${label} move lines","${label} Líneas de asiento","",""
"%","%","",""
"% to match any character (one or more)","% to match any character (one or more)","",""
"%d account treated successfully,","%d account treated successfully,","",""
"%d accounting move(s) successfully generated.","%d accounting move(s) successfully generated.","",""
"%d accounts treated successfully,","%d accounts treated successfully,","",""
"%d anomalies.","%d anomalies.","",""
"%d anomaly.","%d anomaly.","",""
"%d email(s) sent.","%d email(s) sent.","",""
"%d invoice treated successfully,","%d invoice treated successfully,","",""
"%d invoices treated successfully,","%d invoices treated successfully,","",""
"%d moves couldn't be deleted or archived, please check the logs.","%d moves couldn't be deleted or archived, please check the logs.","",""
"%d reimbursement created successfully,","%d reimbursement created successfully,","",""
"%d reimbursements created successfully,","%d reimbursements created successfully,","",""
"%s - Invoice date can't be in the future.","%s - Invoice date can't be in the future.","",""
"%s : A customer account is missing for the company %s","%s : A customer account is missing for the company %s","",""
"%s : A header record is missing in the file %s","%s : A header record is missing in the file %s","",""
"%s : A record is missing in the file %s","%s : A record is missing in the file %s","",""
"%s : A supplier account is missing for the company %s","%s : A supplier account is missing for the company %s","",""
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","",""
"%s : Anomaly detected (value isn't numeric : %s) for sender","%s : Anomaly detected (value isn't numeric : %s) for sender","",""
"%s : Anomaly detected (value isn't numeric : %s) for the receiver","%s : Anomaly detected (value isn't numeric : %s) for the receiver","",""
"%s : Anomaly detected (value isn't numeric : %s) for the total","%s : Anomaly detected (value isn't numeric : %s) for the total","",""
"%s : Bank statement line %s amount can't be null","%s : Bank statement line %s amount can't be null","",""
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.","%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.","",""
"%s : Computed balance and Ending Balance must be equal","%s : Computed balance and Ending Balance must be equal","",""
"%s : Currency missing","%s : Currency missing","",""
"%s : Error : You must configure a bank details for the company %s and a payment mode %s","%s : Error : You must configure a bank details for the company %s and a payment mode %s","",""
"%s : Error : You must configure a company for the batch configurator %s","%s : Error : You must configure a company for the batch configurator %s","",""
"%s : Error : You must configure a credit note interface sequence for the company %s","%s : Error : You must configure a credit note interface sequence for the company %s","",""
"%s : Error : You must configure a custom account reporting sequence for the company %s","%s : Error : You must configure a custom account reporting sequence for the company %s","",""
"%s : Error : You must configure a direct debit date for the %s batch configuration","%s : Error : You must configure a direct debit date for the %s batch configuration","",""
"%s : Error : You must configure a due date for the batch configurator %s","%s : Error : You must configure a due date for the batch configurator %s","",""
"%s : Error : You must configure a journal for the company %s and a payment mode %s","%s : Error : You must configure a journal for the company %s and a payment mode %s","",""
"%s : Error : You must configure a purchase interface sequence for the company %s","%s : Error : You must configure a purchase interface sequence for the company %s","",""
"%s : Error : You must configure a reconciliation sequence for the company %s","%s : Error : You must configure a reconciliation sequence for the company %s","",""
"%s : Error : You must configure a reported balance journal in the account configuration for the batch configurator %s","%s : Error : You must configure a reported balance journal in the account configuration for the batch configurator %s","",""
