"key","message","comment","context"
"$budgetExceedAlert","Alerta de exceso de presupuesto",,
"<><Badge bg=""warning"">You need to save the budget before manage budget lines on periods</Badge></>","<><Badge bg=""warning"">Debe guardar el presupuesto antes de gestionar las líneas de presupuesto en períodos</Badge></>",,
"A budget date is missing","Falta una fecha de presupuesto",,
"A budget distribution has already been generated. By launching this action, the budget distribution table will be cleared and re-computed. Do you want to proceed ?","Ya se ha generado una distribución de presupuesto. Al lanzar esta acción, la tabla de distribución de presupuesto será borrada y recalculada. ¿Desea continuar?",,
"Account","Cuenta contable",,
"Account configuration","Configuración contable",,
"Account model","Modelo de cuenta",,
"Account models","Modelos de cuenta",,
"Account move","Asiento contable",,
"Account(s)","Cuenta(s) contable(s)",,
"Accounting.Account","Cuenta contable",,
"AccountingReportType25.balance","Saldo",,
"AccountingReportType25.company","Empresa",,
"AccountingReportType25.currency","Moneda",,
"AccountingReportType25.date","Fecha",,
"AccountingReportType25.expectedAmt","Importe previsto",,
"AccountingReportType25.expenditure","Gastos",,
"AccountingReportType25.from","Desde",,
"AccountingReportType25.gap","Diferencia",,
"AccountingReportType25.realizedAmt","Importe realizado",,
"AccountingReportType25.revenue","Ingresos",,
"AccountingReportType25.revenueOrExpenditure","Ingresos/Gastos",,
"AccountingReportType25.title","Estado de ingresos y gastos",,
"AccountingReportType25.to","Hasta",,
"AccountingReportType25.totalExpenditure","Total de gastos",,
"AccountingReportType25.totalRevenue","Total de ingresos",,
"AccountingReportType25.year","Año",,
"Active","Activo",,
"Active Version","Versión activa",,
"Active version expected amounts line","Línea de importes previstos de versión activa",,
"Advance export budget","Exportación avanzada de presupuesto",,
"Advance export budget level","Exportación avanzada de nivel de presupuesto",,
"Advance export budget line","Exportación avanzada de línea de presupuesto",,
"Advance export global budget","Exportación avanzada de presupuesto global",,
"All","Todos",,
"Amount","Importe",,
"Amount for each line","Importe para cada línea",,
"Analytic Axis By Company","Eje analítico por empresa",,
"Analytic Axis By company","Eje analítico por empresa",,
"Analytic account","Cuenta analítica",,
"Analytic axis","Eje analítico",,
"App","Aplicación",,
"App budget","Aplicación presupuesto",,
"Apply to all","Aplicar a todos",,
"Archived","Archivado",,
"Assigned amount","Importe asignado",,
"Auto","Auto",,
"Automatic budget computation","Cálculo automático del presupuesto",,
"Available Amount","Disponible",,
"Available amount","Disponible",,
"Available amount with simulated","Disponible con simuladas",,
"Available amount with simulated moves","Disponible con asientos simulados",,
"Budget","Presupuesto",,
"Budget Distribution","Distribución de presupuesto",,
"Budget Generator","Generador de presupuesto",,
"Budget Level","Nivel de presupuesto",,
"Budget Levels","Niveles de presupuesto",,
"Budget Line","Línea de presupuesto",,
"Budget Lines","Líneas de presupuesto",,
"Budget Scenario","Escenario de presupuesto",,
"Budget Scenario Line","Línea de escenario de presupuesto",,
"Budget Scenario Lines","Líneas de escenario de presupuesto",,
"Budget Scenario Value","Valor de escenario de presupuesto",,
"Budget Scenario Variable","Variable de escenario de presupuesto",,
"Budget Scenario Variable %s","Variable de escenario de presupuesto %s",,
"Budget Structure","Estructura de presupuesto",,
"Budget Version","Versión de presupuesto",,
"Budget amount available","Importe de presupuesto disponible",,
"Budget dates","Fechas del presupuesto",,
"Budget distribution","Distribución de presupuesto",,
