"key","message","comment","context"
"1","1",,
"10","10",,
"11","11",,
"12","12",,
"13","13",,
"14","14",,
"15","15",,
"16","16",,
"17","17",,
"18","18",,
"19","19",,
"2","2",,
"20","20",,
"21","21",,
"22","22",,
"23","23",,
"24","24",,
"25","25",,
"26","26",,
"27","27",,
"28","28",,
"3","3",,
"4","4",,
"5","5",,
"6","6",,
"7","7",,
"8","8",,
"9","9",,
"<h4>Forecasts in out total</h4>","<h4>Pronóstico de tesorería total</h4>",,
"Actualize","Actualizar",,
"Amount","Importe",,
"An existing forecast recap/report already covers part of this period for the same company and bank accounts (%s). Data may appear duplicated in the treasury dashboard.","Un resumen/informe de pronóstico existente ya cubre parte de este período para la misma empresa y cuentas bancarias (%s). Los datos pueden aparecer duplicados en el tablero de tesorería.",,
"Balance","Saldo",,
"Balance by bank details","Saldo por datos bancarios",,
"Bank","Banco",,
"Bank details","Datos bancarios",,
"Best","Mejor caso",,
"Both","Ambos",,
"Calculation Date","Fecha de cálculo",,
"Cash Management Dashboard","Tablero de gestión de caja",,
"Cash balance over time","Evolución del saldo de caja",,
"Cash management","Gestión de tesorería",,
"Comments","Comentarios",,
"Company","Empresa",,
"Configuration","Configuración",,
"Currency","Moneda",,
"Current balance","Saldo actual",,
"Custom","Personalizado",,
"Date","Fecha",,
"Details","Detalles",,
"Display","Mostrar",,
"Element","Elemento",,
"Employee","Empleado",,
"End Of Month","Fin de mes",,
"Ending Balance","Saldo final",,
"Estimated date","Fecha estimada",,
"Estimated duration after order creation (in days)","Duración estimada tras la creación del pedido (en días)",,
"Expense","Gasto",,
"Forecast","Pronóstico",,
"Forecast Assistant","Asistente de pronóstico",,
"Forecast Assistant filters","Filtros del asistente de pronóstico",,
"Forecast Assistants","Asistentes de pronóstico",,
"Forecast Dashboard","Tablero de pronóstico",,
"Forecast Recap","Resumen de pronóstico",,
"Forecast Recap Line Type","Tipo de línea de resumen de pronóstico",,
"Forecast Recap line Types","Tipos de línea de resumen de pronóstico",,
"Forecast Recaps","Resúmenes de pronóstico",,
"Forecast Report","Informe de pronóstico",,
"Forecast Reports","Informes de pronóstico",,
"Forecast Type","Tipo de pronóstico",,
"Forecast Types","Tipos de pronóstico",,
"Forecast filters","Filtros de pronóstico",,
"Forecast generator","Generador de pronóstico",,
"Forecast recap","Resumen de pronóstico",,
"Forecast recap filters","Filtros de resumen de pronóstico",,
"Forecast recap line type updated.","Tipo de línea de resumen de pronóstico actualizado.",,
"ForecastLine.amount","Importe",,
"ForecastLine.balance","Saldo acumulado",,
