"key","message","comment","context"
"ABS portal","Portal ABS",,
"App","Aplicación",,
"App Portal","Aplicación Portal",,
"App portal","Aplicación portal",,
"Assign to customer","Asignar al cliente",,
"Assign to supplier","Asignar al proveedor",,
"Awaiting invoices","Facturas pendientes",,
"Can confirm online","Puede confirmar en línea",,
"Can pay online","Puede pagar en línea",,
"Catalog","Catálogo",,
"Code","Código",,
"Company tickets","Tickets de la empresa",,
"Customer helpdesk","Soporte al cliente",,
"Customer tickets","Tickets del cliente",,
"Delivery","Entrega",,
"Display product catalog","Mostrar catálogo de productos",,
"Electronic signature","Firma electrónica",,
"External portal","Portal externo",,
"Helpdesk","Soporte",,
"Invoicing","Facturación",,
"Last delivery","Última entrega",,
"Last order","Último pedido",,
"Late tickets","Tickets con retraso",,
"Manage delivery","Gestionar entregas",,
"Manage invoices","Gestionar facturas",,
"Manage projects","Gestionar proyectos",,
"Manage sale orders","Gestionar pedidos de venta",,
"Manage tickets","Gestionar tickets",,
"Modules","Módulos",,
"Months","Meses",,
"My credit notes","Mis abonos",,
"My deliveries","Mis entregas",,
"My invoices","Mis facturas",,
"My projects","Mis proyectos",,
"My quotations","Mis presupuestos",,
"My reversions","Mis devoluciones",,
"My space","Mi espacio",,
"My tickets","Mis tickets",,
"Name","Nombre",,
"Next delivery","Próxima entrega",,
"None","Ninguno",,
"Online payment method","Método de pago en línea",,
"Online payment methods","Métodos de pago en línea",,
"Orders in progress","Pedidos en curso",,
"Overdue invoices","Facturas vencidas",,
"Password","Contraseña",,
"Planned deliveries","Entregas planificadas",,
"Portal","Portal",,
"Project","Proyecto",,
"Projects","Proyectos",,
"Resolved tickets","Tickets resueltos",,
"Sale order","Pedido de venta",,
"Sum","Suma",,
"Sum of last 4 months invoices","Suma de facturas de los últimos 4 meses",,
"Tasks due","Tareas vencidas",,
"Tasks incompleted","Tareas incompletas",,
"Total projects","Total de proyectos",,
"Total remaining","Total pendiente",,
"User is not linked with any partner. Please disconnect.","El usuario no está vinculado a ningún tercero. Por favor, desconéctese.",,
"chart","Gráfico",,
"value:Portal","Portal",,
