"key","message","comment","context"
"%d contract(s) treated and %d anomaly(ies) reported !","%d contrato(s) tratado(s) y %d anomalía(s) reportada(s)!",,
"<><Badge bg=""warning"">{_t('This pricing is already used by another contract line. Use the + button to create a new copy.')}</Badge></>","<><Badge bg=""warning"">{_t('Este baremo ya está siendo utilizado por otra línea de contrato. Use el botón + para crear una nueva copia.')}</Badge></>",,
"A billing contract is used to generate invoices, whereas a framework contract is used to generate orders. Invoices from framework contracts are generated either from orders, stock move or business project.","Un contrato de facturación se utiliza para generar facturas, mientras que un contrato marco se utiliza para generar pedidos. Las facturas de los contratos marco se generan desde los pedidos, los movimientos de stock o el proyecto de negocio.",,
"Account management","Configuración contable",,
"Action","Acción",,
"Action %s has no Batch implementation.","La acción %s no tiene implementación de Lote.",,
"Actions","Acciones",,
"Activate contract","Activar contrato",,
"Activated By","Activado por",,
"Activation date","Fecha de activación",,
"Active","Activo",,
"Additional Benefit Management","Gestión de prestaciones adicionales",,
"Additional benefit","Prestaciones adicionales",,
"Additional benefit lines","Líneas de prestaciones adicionales",,
"Additional benefit management","Gestión de prestaciones adicionales",,
"Additional products","Productos adicionales",,
"Advanced","Avanzado",,
"Amendment","Enmienda",,
"Amendment management","Gestión de enmiendas",,
"Amendment status","Estado de la enmienda",,
"Amendments","Enmiendas",,
"Analytic Move Line","Línea de asiento analítico",,
"Analytic distribution template","Plantilla de distribución analítica",,
"Analytic move line","Línea de asiento analítico",,
"Analytic move lines","Líneas de asiento analítico",,
"Analytics","Analíticos",,
"App","Aplicación",,
"App contract","Aplicación contrato",,
"Are you sure you want to remove the selected lines?","¿Está seguro de que desea eliminar las líneas seleccionadas?",,
"Attention the contract will have as starting date the provisional activation         date ${currentContractVersion.supposedActivationDate}, Are you sure?","Atención: el contrato tendrá como fecha de inicio la fecha de activación provisional ${currentContractVersion.supposedActivationDate}, ¿está seguro?",,
"Auto enable version on renew","Activar automáticamente la versión al renovar",,
"Automatic invoicing","Facturación automática",,
"Available variables :\n         ind1i = value for the contract's index1 for date 1 \n ind2i = value for the contract's index 2 for date         2 \n ind1f : value for the contract's index 1 for the next revaluation date \n ind2f :         value for the contract's index 2 for the next revaluation date \n ind1py :         value for the contract's index 1 for the next revaluation - 1 year \n ind2py :         value for the contract's index 2 for the next revaluation - 1 year \n P0 : original price of the contract line         \n Pf : last revaluated price of the contract line","Variables disponibles:\n ind1i = valor del índice 1 del contrato para la fecha 1 \n ind2i = valor del índice 2 del contrato para la fecha 2 \n ind1f = valor del índice 1 del contrato para la próxima fecha de revalorización \n ind2f = valor del índice 2 del contrato para la próxima fecha de revalorización \n ind1py = valor del índice 1 del contrato para la próxima fecha de revalorización - 1 año \n ind2py = valor del índice 2 del contrato para la próxima fecha de revalorización - 1 año \n P0 = precio original de la línea de contrato \n Pf = último precio revalorizado de la línea de contrato",,
"Back","Volver",,
"Batches","Lotes",,
"Batchs","Lote",,
"Billing","Facturación",,
"Billing contract","Contrato de facturación",,
"Can only activate waiting contract.","Solo se puede activar un contrato en espera.",,
"Can only put on hold drafted contract.","Solo se puede poner en espera un contrato en borrador.",,
