"key","message","comment","context"
"%d times","%d veces",,
"1 to 2","1 a 2",,
"10 to 19","10 a 19",,
"100 to 199","100 a 199",,
"1000 to 1999","1000 a 1999",,
"20 to 49","20 a 49",,
"200 to 249","200 a 249",,
"2000 to 4999","2000 a 4999",,
"250 to 499","250 a 499",,
"3 to 5","3 a 5",,
"50 to 99","50 a 99",,
"500 to 999","500 a 999",,
"5000 to 9999","5000 a 9999",,
"6 to 9","6 a 9",,
"<><Badge bg=""warning"">The selected date is in the past.</Badge></>","<><Badge bg=""warning"">La fecha seleccionada es anterior a la fecha actual.</Badge></>",,
"<><Badge bg=""warning"">There is already a lead with this name.</Badge></>","<><Badge bg=""warning"">Ya existe un prospecto con este nombre.</Badge></>",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"A lost reason must be selected","Se debe seleccionar un motivo de pérdida",,
"Account owner","Propietario de la cuenta",,
"Action","Acción",,
"Active agency","Agencia activa",,
"Activities","Actividades",,
"Activity","Actividad",,
"Add","Agregar",,
"Add a guest","Agregar un invitado",,
"Address","Dirección",,
"Advanced export","Exportación avanzada",,
"After n repetitions","Después de n repeticiones",,
"Agencies","Agencias",,
"Agencies management","Gestión de agencias",,
"Agency","Agencia",,
"All events","Todos los eventos",,
"All opportunities","Todas las oportunidades",,
"All past events","Todos los eventos pasados",,
"All prospects","Todos los prospectos",,
"All upcoming events","Todos los próximos eventos",,
"All users","Todos los usuarios",,
"Amount","Importe",,
"Amount :","Importe :",,
"App","Aplicación",,
"App Crm","Aplicación CRM",,
"App crm","Aplicación CRM",,
"Apply changes to all recurrence's events","Aplicar cambios a todos los eventos recurrentes",,
"Apply changes to this event only","Aplicar cambios solo a este evento",,
"Apply modifications","Aplicar modificaciones",,
"Apply modifications for all","Aplicar modificaciones a todos",,
"Assign to","Asignar a",,
"Assign to me","Asignarme",,
"Assignable Users","Usuarios asignables",,
"Assigned to","Asignado a",,
"At specific date","En fecha específica",,
"At the date","En la fecha",,
"Attendee","Asistente",,
"Available","Disponible",,
"Batchs","Procesos por lotes",,
"Before start date","Antes de la fecha de inicio",,
"Best Open Deals","Mejores oportunidades abiertas",,
"Best case","Mejor caso",,
"Busy","Ocupado",,
"CRM","CRM",,
"CRM Activities","Actividades CRM",,
"CRM Batch","Lote CRM",,
"CRM batch","Lote CRM",,
"CRM batches","Lotes CRM",,
"CRM config","Config. CRM",,
"CRM config (${ name })","Config. CRM (${ name })",,
"CRM configuration","Configuración CRM",,
"CRM configurations","Configuraciones CRM",,
"CRM events","Eventos CRM",,
"Call","Llamada",,
"Call Event (${ fullName })","Evento de llamada (${ fullName })",,
"Call Event(${ fullName})","Evento de llamada (${ fullName })",,
"Call filters","Filtros de llamadas",,
"Call reminder template","Plantilla de recordatorio de llamada",,
"Call type","Tipo de llamada",,
"Calls","Llamadas",,
"Calls Dashboard","Panel de llamadas",,
"Calls by team by user","Llamadas por equipo por usuario",,
"Calls by user(of a team)","Llamadas por usuario (de un equipo)",,
"Calls held by team by type","Llamadas por equipo por tipo",,
"Calls held by type by user","Llamadas por tipo por usuario",,
"Calls monitoring","Seguimiento de llamadas",,
"Calls type by team","Tipo de llamadas por equipo",,
"Calls type by user","Tipo de llamadas por usuario",,
"Can not mark as lost an already lost lead.","No se puede marcar como perdido un prospecto ya perdido.",,
"Can not mark as lost an already lost partner.","No se puede marcar como perdido un socio ya perdido.",,
"Can not re-open converted leads.","No es posible reabrir un prospecto convertido.",,
"Can only assign to yourself new, assigned or in process lead.","Solo puede asignarse a usted mismo un prospecto nuevo, asignado o en proceso.",,
"Can only close lost opportunities in form view.","Solo puede cerrar una oportunidad perdida desde la vista formulario.",,
"Can only close lost prospects in form view.","Solo puede cerrar un prospecto perdido desde la vista formulario.",,
"Can only convert leads in form view.","Solo puede convertir un prospecto desde la vista formulario.",,
"Can only convert new, assigned or in process lead.","Solo puede convertir un prospecto nuevo, asignado o en proceso.",,
"Can only lose leads in form view.","Solo puede perder un prospecto desde la vista formulario.",,
"Can only recycle a lost lead.","Solo puede reciclar un prospecto perdido.",,
"Can only start new or assigned lead.","Solo puede iniciar un prospecto nuevo o asignado.",,
"Cancel","Cancelar",,
"Cancel this reminder","Cancelar este recordatorio",,
"Canceled","Cancelado",,
"Carrier","Transportista",,
"Cases","Casos",,
"Catalog","Catálogo",,
"Catalog type","Tipo de catálogo",,
"Catalogs","Catálogos",,
"Catalogs type","Tipos de catálogos",,
"Categories","Categorías",,
"Category","Categoría",,
"Characteristics","Características",,
"Chart","Gráfico",,
"Check Duplicate","Verificar duplicado",,
"Check duplicate","Verificar duplicados",,
"Civility","Tratamiento",,
"Closed Opportunities","Oportunidades cerradas",,
"Closed leads","Prospectos cerrados",,
"Closed lost","Cerrado perdido",,
"Closed lost opportunity status","Estado de oportunidad cerrada perdida",,
"Closed lost partner status","Estado de socio cerrado perdido",,
"Closed opportunities","Oportunidades cerradas",,
"Closed prospects","Prospectos cerrados",,
"Closed win opportunity status","Estado de oportunidad cerrada ganada",,
"Closed win partner status","Estado de socio cerrado ganado",,
"Closed won","Cerrado ganado",,
"Code","Código",,
"Companies","Empresas",,
"Company","Empresa",,
"Company PhoneBook","Directorio telefónico de empresas",,
"Company concerned by the configurations.","Empresa afectada por las configuraciones.",,
"Company phoneBook","Directorio telefónico de la empresa",,
"Config","Config.",,
"Configuration","Configuración",,
"Confirm lost reason","Confirmar motivo de pérdida",,
"Contact","Contacto",,
"Contact PhoneBook","Directorio telefónico de contactos",,
"Contact details","Datos de contacto",,
"Contact function","Función del contacto",,
"Contact list","Lista de contactos",,
"Contact name","Nombre del contacto",,
"Contacts","Contactos",,
"Convert","Convertir",,
"Convert lead","Convertir prospecto",,
"Convert lead (${ fullName })","Convertir prospecto (${ fullName })",,
"Convert lead into contact","Convertir prospecto en contacto",,
"Convert lead into partner","Convertir prospecto en socio",,
"Converted","Convertido",,
"Converted lead status","Estado del prospecto convertido",,
"Corporate partner","Socio corporativo",,
"Corporate partner fidelity","Fidelidad del socio corporativo",,
"Corporate partner monitoring","Seguimiento del socio corporativo",,
"Corporate partner since","Socio corporativo desde",,
"Corporate partner work domain","Dominio de trabajo del socio corporativo",,
"Countries","Países",,
"Country","País",,
"Create a call","Crear una llamada",,
"Create a meeting","Crear una reunión",,
"Create a new reminder","Crear un nuevo recordatorio",,
"Create a note","Crear una nota",,
"Create a quotation","Crear una cotización",,
"Create a task","Crear una tarea",,
"Create an email","Crear un correo electrónico",,
"Create event","Crear evento",,
"Create from Sirene API","Crear desde API Sirene",,
"Create new contact","Crear nuevo contacto",,
"Create new partner","Crear nuevo socio",,
"Create opportunity","Crear oportunidad",,
"Create opportunity (${ fullName })","Crear oportunidad (${ fullName })",,
"Create order (${ fullName })","Crear pedido (${ fullName })",,
"Create purchase quotation","Crear cotización de compra",,
"Create sale quotation","Crear cotización de venta",,
"Created by","Creado por",,
"Created leads by industry sector","Prospectos creados por sector industrial",,
"Created leads per month","Prospectos creados por mes",,
"Created on","Creado el",,
"Creation date","Fecha de creación",,
"Crm Reporting type is missing!","¡Falta el tipo de informe CRM!",,
"Crm batch","Lote CRM",,
"Crm batch filters","Filtros de lote CRM",,
"Crm reporting","Informes CRM",,
"Currency","Moneda",,
"Custom status","Estado personalizado",,
"Custom types","Tipos personalizados",,
"Customer","Cliente",,
"Customer / Prospect","Cliente / Prospecto",,
"Customer Description","Descripción del cliente",,
"Customer fixed phone","Teléfono fijo del cliente",,
"Customer follow-up","Seguimiento del cliente",,
"Customer mobile phone","Teléfono móvil del cliente",,
"Customer name","Nombre del cliente",,
"Customer recovery","Recuperación del cliente",,
"Customers","Clientes",,
"Daily","Diario",,
"Daily team call summary by user","Resumen diario de llamadas del equipo por usuario",,
"Dashboard","Panel de control",,
"Date","Fecha",,
"Day of month","Día del mes",,
"Day of week","Día de la semana",,
"Days","Días",,
"Default lead status","Estado predeterminado del prospecto",,
"Default opportunity status","Estado predeterminado de la oportunidad",,
"Default partner status","Estado predeterminado del socio",,
"Default recurring duration (in months)","Duración recurrente predeterminada (en meses)",,
"Delete all events","Eliminar todos los eventos",,
"Delete only this event","Eliminar solo este evento",,
"Delete this and next events","Eliminar este evento y los siguientes",,
"Dep./Div.","Dep./Div.",,
"Department","Departamento",,
"Description","Descripción",,
"Display customer description in opportunity","Mostrar descripción del cliente en la oportunidad",,
"Do not call","No llamar",,
"Do not email","No enviar correo electrónico",,
"Done","Hecho",,
"Duplicate contacts :","Contactos duplicados :",,
"Duplicate leads :","Prospectos duplicados :",,
"Duplicate prospects :","Prospectos duplicados :",,
"Duplicate records found","Registros duplicados encontrados",,
"Duration","Duración",,
"Duration type","Tipo de duración",,
"Email","Correo electrónico",,
"Email domain to ignore","Dominio de correo electrónico a ignorar",,
"Email template that will be sent for call reminders.","Plantilla de correo electrónico que se enviará para los recordatorios de llamadas.",,
"Email template that will be sent for event reminders.","Plantilla de correo electrónico que se enviará para los recordatorios de eventos.",,
"Email template that will be sent for meeting date changes.","Plantilla de correo electrónico que se enviará para los cambios de fecha de reunión.",,
"Email template that will be sent for meeting reminders.","Plantilla de correo electrónico que se enviará para los recordatorios de reuniones.",,
