"key","message","comment","context"
"0 %","0 %",,
"10 %","10 %",,
"100 %","100 %",,
"20 %","20 %",,
"30 %","30 %",,
"40 %","40 %",,
"50 %","50 %",,
"60 %","60 %",,
"70 %","70 %",,
"80 %","80 %",,
"90 %","90 %",,
"ALL","Todos",,
"All SLA","Todos los SLA",,
"All ticket types","Todos los tipos de ticket",,
"All tickets","Todos los tickets",,
"App","Aplicación",,
"App helpdesk","Aplicación de soporte",,
"Apply on","Aplicar en",,
"Assign to me","Asignarme",,
"Assigned to","Asignado a",,
"Cancel","Cancelar",,
"Characteristics","Características",,
"Close","Cerrar",,
"Closed","Cerrado",,
"Closed status","Estado cerrado",,
"Closed ticket status does not exist. Please configure at least one.","No existe ningún estado de ticket cerrado. Por favor, configure al menos uno.",,
"Code","Código",,
"Configuration","Configuración",,
"Current tickets","Tickets actuales",,
"Customer","Cliente",,
"Customer contact","Contacto del cliente",,
"Dates","Fechas",,
"Deadline","Fecha límite",,
"Default status","Estado predeterminado",,
"Default ticket status does not exist. Please configure at least one.","No existe ningún estado de ticket predeterminado. Por favor, configure al menos uno.",,
"Description","Descripción",,
"Duration","Duración",,
"End date","Fecha de fin",,
"Follow-up","Seguimiento",,
"From Date","Fecha desde",,
"Full name","Nombre completo",,
"Helpdesk","Soporte",,
"High","Alta",,
"In progress","En curso",,
"Late tickets","Tickets con retraso",,
"Low","Baja",,
"Manage Timer","Gestionar temporizador",,
"Minimum priority","Prioridad mínima",,
"My team tickets","Tickets de mi equipo",,
"My tickets","Mis tickets",,
"Name","Nombre",,
"New","Nuevo",,
"Normal","Normal",,
"Not assigned tickets","Tickets no asignados",,
"Number of tickets per SLA & per team","Número de tickets por SLA y por equipo",,
"Number of tickets per SLA & per user","Número de tickets por SLA y por usuario",,
"On going status","Estado en curso",,
"On going ticket status does not exist. Please configure at least one.","No existe ningún estado de ticket en curso. Por favor, configure al menos uno.",,
"Overview","Resumen",,
"Partner","Tercero",,
"Percentage","Porcentaje",,
"Percentage of repartition tickets per state","Porcentaje de distribución de tickets por estado",,
"Percentage of tickets per SLA & per team","Porcentaje de tickets por SLA y por equipo",,
"Percentage of tickets per SLA & per user","Porcentaje de tickets por SLA y por usuario",,
"Please select tickets","Por favor, seleccione tickets",,
"Priority","Prioridad",,
"Progress","Progreso",,
"Progress (%)","Progreso (%)",,
"Project","Proyecto",,
"Projects","Proyectos",,
"Reach in","Alcanzado en",,
"Reach stage","Etapa alcanzada",,
"Real total duration (Hours)","Duración total real (Horas)",,
"Reportings","Informes",,
"Resolve","Resolver",,
"Resolved","Resuelto",,
"Resolved status","Estado resuelto",,
"Resolved ticket status does not exist. Please configure at least one.","No existe ningún estado de ticket resuelto. Por favor, configure al menos uno.",,
"SLA","SLA",,
"SLA Policy","Política de SLA",,
"SLA completed","SLA completado",,
"SLA dashboard","Tablero de SLA",,
"SLA policies","Políticas de SLA",,
"SLA policy name","Nombre de la política de SLA",,
"Sequence","Secuencia",,
"Solved","Resueltos",,
"Stage to reach","Etapa a alcanzar",,
"Start","Iniciar",,
"Start date","Fecha de inicio",,
"Status","Estado",,
"Stop","Detener",,
"Subject","Asunto",,
"Take charge","Tomar a cargo",,
"Target","Objetivo",,
"Team","Equipo",,
"This enables the Timer tab on a ticket, which allows starting a stopwatch to precisely track the time spent on resolving a ticket.","Esto habilita la pestaña Temporizador en un ticket, que permite iniciar un cronómetro para registrar con precisión el tiempo empleado en la resolución de un ticket.",,
"This option enables the Service Level Agreement, which defines service quality by setting indicators on the maximum resolution time for a ticket, or the transition to a certain stage within a given time. If enabled, your teams will be alerted of the indicators to meet, and you will have access to detailed reports showing SLA performance and service level.","Esta opción habilita el Acuerdo de Nivel de Servicio (SLA), que define la calidad del servicio estableciendo indicadores sobre el tiempo máximo de resolución de un ticket, o la transición a una determinada etapa en un tiempo dado. Si se activa, sus equipos serán alertados de los indicadores a cumplir y tendrá acceso a informes detallados que muestran el rendimiento del SLA y el nivel de servicio.",,
"Ticket","Ticket",,
"Ticket Number","Número de ticket",,
"Ticket N°","Ticket N°",,
"Ticket Type","Tipo de ticket",,
"Ticket created","Ticket creado",,
"Ticket dashboard","Tablero de tickets",,
"Ticket filters","Filtros de ticket",,
"Ticket status","Estado de ticket",,
"Ticket statuses","Estados de ticket",,
"Ticket type","Tipo de ticket",,
"Ticket types","Tipos de ticket",,
"Ticket updated.","Ticket actualizado.",,
"Tickets","Tickets",,
"Tickets by ticket type","Tickets por tipo de ticket",,
"Timer","Temporizador",,
"Timer list","Lista de temporizadores",,
"Timer state","Estado del temporizador",,
"To Date","Fecha hasta",,
"Total duration (Hours)","Duración total (Horas)",,
"Total tickets","Total de tickets",,
"Unsolved","No resueltos",,
"Urgent","Urgente",,
"User","Usuario",,
"User in charge of the issue","Usuario responsable del problema",,
"Workflow to update status to value provided is not supported by ticket.","El flujo de trabajo para actualizar el estado al valor proporcionado no es compatible con el ticket.",,
"Working Days","Días hábiles",,
"You can define here which status tickets are considered as closed. Ticket statuses are customizable and can be created from the Configuration/Ticket statuses menu of the Helpdesk module.","Puede definir aquí qué estado de tickets se considera como cerrado. Los estados de ticket son personalizables y pueden crearse desde el menú Configuración/Estados de ticket del módulo de soporte.",,
"You can define here which status tickets are considered as in progress. Ticket statuses are customizable and can be created from the Configuration/Ticket statuses menu of the Helpdesk module.","Puede definir aquí qué estado de tickets se considera como en curso. Los estados de ticket son personalizables y pueden crearse desde el menú Configuración/Estados de ticket del módulo de soporte.",,
"You can define here which status tickets are considered as resolved. Ticket statuses are customizable and can be created from the Configuration/Ticket statuses menu of the Helpdesk module.","Puede definir aquí qué estado de tickets se considera como resuelto. Los estados de ticket son personalizables y pueden crearse desde el menú Configuración/Estados de ticket del módulo de soporte.",,
"You can define here which status tickets are created with. Ticket statuses are customizable and can be created from the Configuration/Ticket statuses menu of the Helpdesk module.","Puede definir aquí con qué estado se crean los tickets. Los estados de ticket son personalizables y pueden crearse desde el menú Configuración/Estados de ticket del módulo de soporte.",,
"chart.resolved","Resueltos",,
"days","días",,
"hours","horas",,
"value:Helpdesk","Soporte",,
