"key","message","comment","context"
"% in paper format","% en formato papel",,
"%d expense treated successfully,","%d gasto procesado correctamente,",,
"%d expenses treated successfully,","%d gastos procesados correctamente,",,
"%d leave reason(s) treated and %d anomaly(ies) reported !","%d tipo(s) de ausencia procesado(s) y %d anomalía(s) detectada(s)",,
"%s date is invalid. It must be included in the timesheet's period.","La fecha %s no es válida. Debe estar incluida en el período del registro de horas.",,
"6 days week","Semana de 6 días",,
"<><Badge bg=""warning"">At least one line of this expense exceeds the authorised amount for its type of expense.</Badge></>","<><Badge bg=""warning"">Al menos una línea de este gasto supera el monto autorizado para su tipo de gasto.</Badge></>",,
"A leave line will be created automatically every month for concerned employee if automatic incrementation is enabled.","Se creará automáticamente una línea de permiso cada mes para los empleados afectados si la incrementación automática está activada.",,
"A leave line will be created automatically every year for concerned employee if automatic incrementation is enabled.","Se creará automáticamente una línea de permiso cada año para los empleados afectados si la incrementación automática está activada.",,
"A leave request is already accepted over this or a portion of this period of time. Please cancel the previous one to accept this one.","Ya hay una solicitud de permiso aceptada en este período o en parte de él. Por favor, cancele la anterior para aceptar esta.",,
"A new planning time has been created.","Se ha creado un nuevo tiempo de planificación.",,
"A project planning time already exists. Do you want to update it?","Ya existe un tiempo de planificación de proyecto. ¿Desea actualizarlo?",,
"ADD A LINE","AGREGAR UNA LÍNEA",,
"Absent","Ausente",,
"Account information","Información de cuenta",,
"Accounting","Contabilidad",,
"Acquired","Adquirido",,
"Action","Acción",,
"Actions","Acciones",,
"Active","Activo",,
"Active employee","Empleado activo",,
"Active employees","Empleados activos",,
"Activity","Actividad",,
"Activity on timesheet line is not enabled.","Las actividades en las líneas del registro de horas no están habilitadas.",,
"Add a line","Agregar una línea",,
"Add an advance","Agregar un anticipo",,
"Add lines","Agregar líneas",,
"Add multiple lines","Agregar múltiples líneas",,
"Add to expense","Agregar al gasto",,
"Advance","Anticipo",,
"Advance management","Gestión de anticipos",,
"Afternoon","Tarde",,
"Alert if the manuf. order is finish","Alertar cuando la orden de fabricación esté terminada",,
"Alerts the user if they want to log time on a finished manufacturing order.","Alerta al usuario si desea registrar tiempo en una orden de fabricación terminada.",,
"All","Todos",,
"All allocation lines","Ver líneas de asignación",,
"All companies","Todas las empresas",,
"All extra hours","Todas las horas extras",,
"All lines must have the same currency.","Todas las líneas deben tener la misma divisa.",,
"All lines must have the same employee.","Todas las líneas deben tener el mismo empleado.",,
"All remaining leaves will be transferred to the selected leave type. Only incremental type can be chosen.","Todos los permisos restantes serán transferidos al tipo de permiso seleccionado. Solo se puede elegir el tipo incremental.",,
"All timesheets","Todos los registros de horas",,
"Allocated","Asignado",,
"Allocated time","Tiempo asignado",,
"Allocation Year","Año de asignación",,
"Allocation line","Línea de asignación",,
"Allocation lines","Líneas de asignación",,
"Allocation period","Período de asignación",,
"Allocation periods","Períodos de asignación",,
"Allocation year","Año de asignación",,
"Allocation years","Años de asignación",,
"Allow Injection","Permitir inyección",,
"Allow allocated initialization","Inicializar la asignación",,
"Allow expense creation","Permitir la creación de gastos",,
"Allow negative value for leaves","Permitir valores negativos para permisos",,
