"key","message","comment","context"
"Action","Acción",,
"Activate recurrence planning","Activar la planificación de recurrencia",,
"Address","Dirección",,
"Advanced monitoring","Seguimiento avanzado",,
"Advanced monitoring address","Dirección de seguimiento avanzado",,
"Advanced startup monitoring range","Gama de seguimiento avanzado de inicio",,
"After sale service sale order follow up","Seguimiento de cotización de servicio posventa",,
"Afternoon","Tarde",,
"All articles must belong to the same partner","Todos los artículos deben pertenecer al mismo socio",,
"All required questions of the survey must be answered to finish the intervention.","Todas las preguntas obligatorias de la encuesta deben ser respondidas para finalizar la intervención.",,
"Already in requested status.","Ya se encuentra en el estado solicitado.",,
"Answer","Respuesta",,
"Answer type","Tipo de respuesta",,
"Answer types","Tipos de respuesta",,
"Answer value","Valor de respuesta",,
"Answer values","Valores de respuesta",,
"Answered","Respondido",,
"App","Aplicación",,
"App Intervention","Aplicación Intervención",,
"App intervention","Aplicación intervención",,
"Are you sure you want to remove selected lines?","¿Está seguro de que desea eliminar las líneas seleccionadas?",,
"Are you sure you want to remove selected questions?","¿Está seguro de que desea eliminar las preguntas seleccionadas?",,
"Article","Artículo",,
"Assets management","Gestión de activos",,
"Assigned to","Asignado a",,
"Attached file","Archivo adjunto",,
"Auto generate customer request","Generar solicitud de cliente automáticamente",,
"Batches","Lotes",,
"By equipment","Por equipo",,
"By equipment family","Por familia de equipo",,
"Cancel","Cancelar",,
"Cancelled","Cancelado",,
"Cannot go to requested status from current status.","No es posible pasar al estado solicitado desde el estado actual.",,
"Change equipment","Cambiar equipo",,
"Checkbox","Casilla de verificación",,
"Checkbox name","Nombre de la casilla de verificación",,
"Code","Código",,
"Comments","Comentarios",,
"Commercial","Comercial",,
"Commercial follow-up","Seguimiento comercial",,
"Commissioning date","Fecha de puesta en servicio",,
"Companies","Empresas",,
"Company","Empresa",,
"Conditional","Condicional",,
"Conditional answer values","Valores de respuesta condicional",,
"Conditional intervention question","Pregunta de intervención condicional",,
"Conditional range question","Pregunta de gama condicional",,
"Configuration","Configuración",,
"Confirm","Confirmar",,
"Confirm planification","Confirmar planificación",,
"Contact","Contacto",,
"Contact details","Datos de contacto",,
"Contract","Contrato",,
"Contract template","Plantilla de contrato",,
"Contracts","Contratos",,
"Contractual","Contractual",,
"Could not find equipment with id %s.","No se pudo encontrar el equipo con id %s.",,
"Could not find picture with id %s.","No se pudo encontrar la imagen con id %s.",,
"Create an intervention","Crear una intervención",,
"Create intervention","Crear intervención",,
"Create new equipment","Crear nuevo equipo",,
"Create new equipment model","Crear nuevo modelo de equipo",,
