"key","message","comment","context"
"Action","Acción",,
"Actions","Acciones",,
"All reached","Si se alcanzan todas las condiciones",,
"Allocate all","Asignar todo",,
"Alternative Bill of materials","Lista de materiales alternativa",,
"Assigned to","Asignado a",,
"BOM.machine","BOM.máquina",,
"Back to draft","Volver a borrador",,
"Bill of Materials","Lista de materiales",,
"Bill of materials","Lista de materiales",,
"Bills of material","Listas de materiales",,
"Bills of materials","Listas de materiales",,
"Cancel","Cancelar",,
"Cancel Reason","Motivo de cancelación",,
"Cancel reservation","Cancelar reserva",,
"Canceled","Cancelado",,
"Complete","Completar",,
"Completed","Completado",,
"Compute cost price","Calcular precio de coste",,
"Configuration","Configuración",,
"Consumed products","Productos consumidos",,
"Corrective","Correctivo",,
"Cost","Coste",,
"Create maintenance request","Crear solicitud de mantenimiento",,
"Current requests","Solicitudes actuales",,
"Cycles","Ciclos",,
"Dates","Fechas",,
"Days","Días",,
"Deallocate all","Desasignar todo",,
"Default Bill of materials","Lista de materiales predeterminada",,
"Done on","Realizado el",,
"Duration (Hours)","Duración (Horas)",,
"End date","Fecha de fin",,
"Equipement maintenance","Mantenimiento de equipo",,
"Equipement maintenances","Mantenimientos de equipo",,
"Event end date","Fecha de fin del evento",,
"Event start date","Fecha de inicio del evento",,
"Expected date","Fecha prevista",,
"Finish","Finalizar",,
"First reached","Si se alcanza la primera condición",,
"General BoM","Lista de materiales general",,
"General production processes","Procesos de producción generales",,
"Generate new version","Generar nueva versión",,
"Generate request each","Generar solicitud cada",,
"Hours of production","Horas de producción",,
"In progress","En curso",,
"MO's comment from sale order","Comentario de OF desde pedido de venta",,
"MO's comment from sale order line","Comentario de OF desde línea de pedido de venta",,
"Machine","Máquina",,
"Machine type","Tipo de máquina",,
"Machines","Máquinas",,
"Machines unavailable","Máquinas no disponibles",,
"Maintenance","Mantenimiento",,
"Maintenance Category","Categoría de mantenimiento",,
"Maintenance File","Archivo de mantenimiento",,
"Maintenance Procedure","Procedimiento de mantenimiento",,
"Maintenance Request","Solicitud de mantenimiento",,
"Maintenance Requests","Solicitudes de mantenimiento",,
"Maintenance bill of materials template","Plantilla de lista de materiales de mantenimiento",,
"Maintenance comments","Comentarios de mantenimiento",,
"Maintenance manuf order template","Plantilla de orden de fabricación de mantenimiento",,
"Maintenance order","Orden de mantenimiento",,
"Maintenance orders","Órdenes de mantenimiento",,
"Maintenance periods","Períodos de mantenimiento",,
"Maintenance prod process template","Plantilla de proceso de producción de mantenimiento",,
"Maintenance task","Tarea de mantenimiento",,
"Make it applicable","Aplicar",,
"Make it obsolete","Marcar como obsoleto",,
"ManufOrder.machine","Máquina",,
"ManufOrder.machineType","Tipo de máquina",,
"Manufacturing Order","Orden de fabricación",,
"Manufacturing order","Orden de fabricación",,
"Manufacturing orders","Órdenes de fabricación",,
"Merged MO","OF combinado",,
"Missing equipement maintenance sequence.","Falta la secuencia de mantenimiento del equipo.",,
"My Maintenance requests","Mis solicitudes de mantenimiento",,
"Name","Nombre",,
"Next maintenance date","Próxima fecha de mantenimiento",,
"Note","Nota",,
"Number of phases","Número de fases",,
"Options","Opciones",,
"Outsourced","Subcontratado",,
"Partial Finish","Finalización parcial",,
"Pause","Pausar",,
"Permanent","Permanente",,
"Personalized production processes","Procesos de producción personalizados",,
"Phases","Fases",,
"Plan","Planificar",,
"Planned dates","Fechas planificadas",,
"Please indicate an equipment for the maintenance request.","Por favor, indique un equipo para la solicitud de mantenimiento.",,
"Please indicate an expected date for the maintenance request.","Por favor, indique una fecha prevista para la solicitud de mantenimiento.",,
"Please select the Manufacturing order(s) to print.","Por favor, seleccione la(s) orden(es) de fabricación a imprimir.",,
"Pre-fill operations","Prellrenar operaciones",,
"Preventive","Preventivo",,
"Print","Imprimir",,
"Print Production Process","Imprimir proceso de producción",,
"ProdProcess.machine","ProdProcess.máquina",,
"Product","Producto",,
"Production configuration","Configuración de producción",,
"Production process","Proceso de producción",,
"Production processes","Procesos de producción",,
"Real dates","Fechas reales",,
"Replan","Replanificar",,
"Reports","Informes",,
"Request By","Solicitado por",,
"Request date","Fecha de solicitud",,
"Request history","Historial de solicitudes",,
"Reserve all","Reservar todo",,
"Residual products","Productos residuales",,
"Resume","Reanudar",,
"Sequence","Secuencia",,
"Start","Iniciar",,
"Start date","Fecha de inicio",,
"State","Estado",,
"Total Lead Duration","Duración total de plazo",,
"Total Planned Duration","Duración total planificada",,
"Total Real Duration","Duración total real",,
"Type","Tipo",,
"Update planned quantities (Components and FP)","Actualizar cantidades planificadas (Componentes y PF)",,
"Update product cost price","Actualizar precio de coste del producto",,
"Update real quantities (Components and FP)","Actualizar cantidades reales (Componentes y PF)",,
"Validate","Validar",,
"Version management","Gestión de versiones",,
"equipement.maintenance.code","Código",,
"equipement.maintenance.image","Imagen",,
"equipement.maintenance.name","Nombre",,
"maintenance.request.planned","Planificado",,
"value:Maintenance","Mantenimiento",,
