"key","message","comment","context"
"A JPQL SELECT query must be used. The first information fetched from the query must be the label and the second one the value. <br>Example : <br>SELECT partner.fullName, count(so.id) FROM Partner partner LEFT JOIN SaleOrder so on partner.id = so.clientPartner GROUP BY partner.fullName <br>Note : <br>- The JPQL query must select at least 2 values. <br>- The first selected value must be a string type. <br>- The second selected value must be a number type (long, decimal, integer). <br>- If more than 2 values are selected, they will be ignored. <br>","Se debe usar una consulta JPQL SELECT. El primer dato obtenido debe ser la etiqueta y el segundo el valor. <br>Ejemplo : <br>SELECT partner.fullName, count(so.id) FROM Partner partner LEFT JOIN SaleOrder so on partner.id = so.clientPartner GROUP BY partner.fullName <br>Nota : <br>- La consulta JPQL debe seleccionar al menos 2 valores. <br>- El primer valor debe ser de tipo cadena. <br>- El segundo valor debe ser de tipo numérico (long, decimal, integer). <br>- Si se seleccionan más de 2 valores, serán ignorados. <br>",,
"AOS view","Vista AOS",,
"Action","Acción",,
"Activate favorites management","Activar gestión de favoritos",,
"Activate inbox access","Activar acceso al buzón de entrada",,
"Activate invoicing on projects","Activar facturación en proyectos",,
"Activate multi currency","Activar múltiples monedas",,
"Active menus","Menús activos",,
"Activities","Actividades",,
"Activity","Actividad",,
"All","Todos",,
"Allow creation","Permitir creación",,
"Allow deletion","Permitir eliminación",,
"Allow download","Permitir descarga",,
"Allow edition of date","Permitir edición de fecha",,
"Allow files to be downloaded from the mobile application.","Permitir que los archivos sean descargados desde la aplicación móvil.",,
"Allow kilometric expenses","Permitir gastos kilométricos",,
"Allow line creation of expense details","Permitir creación de líneas en detalles de gastos",,
"Allow line creation of timesheet details","Permitir creación de líneas en detalles de hoja de horas",,
"Allow manual creation of expense","Permitir creación manual de gastos",,
"Allow manual creation of timesheet","Permitir creación manual de hoja de horas",,
"Allow new files to be uploaded","Permitir subir nuevos archivos",,
"Allow renaming","Permitir renombrar",,
"Allow users to manage carrier option for customer deliveries.","Permitir a los usuarios gestionar la opción de transportista para las entregas a clientes.",,
"Allows files to be deleted from the mobile application if the user has the necessary permissions.","Permite eliminar archivos desde la aplicación móvil si el usuario tiene los permisos necesarios.",,
"Allows folders to be created from the mobile application.","Permite crear carpetas desde la aplicación móvil.",,
"Allows new files to be created from the mobile application if the user has the necessary permissions.","Permite crear nuevos archivos desde la aplicación móvil si el usuario tiene los permisos necesarios.",,
"Allows renaming of files or folders from the mobile application.","Permite renombrar archivos o carpetas desde la aplicación móvil.",,
