"key","message","comment","context"
"% Gap","% Brecha",,
"%d MO created.","%d orden(es) de fabricación creada(s).",,
"%d line(s) treated and %d anomaly(ies) reported !","%d línea(s) procesada(s) y %d anomalía(s) reportada(s) !",,
"%s building","%s en construcción",,
"%s consume","%s consumir",,
"%s missing","%s faltante",,
"* %s Computed work in progress valuation","* %s Valoración calculada del trabajo en proceso",,
"* %s Filled SOP lines","* %s Líneas de S&OP completadas",,
"105","105",,
"5","5",,
"<b>Missing components</b> :<br/>%s","<b>Componentes faltantes</b> :<br/>%s",,
"A cancel reason must be selected","Se debe seleccionar un motivo de cancelación",,
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types","Lista de líneas de pedido de venta que serán procesadas. Las líneas que se pueden seleccionar son las que cumplen las siguientes condiciones :\nEl producto es almacenable\nEl producto es gestionado en stock\nEl producto no está excluido del MRP\nEl pedido de venta/cotización tiene la misma ubicación de stock o una sub-ubicación\nSi es MPS, el producto debe ser un producto terminado\nLa cantidad entregada de la línea debe ser inferior a la cantidad total\nLa línea debe cumplir uno o varios de los tipos de movimiento MRP",,
"Action","Acción",,
"Actions","Acciones",,
"Add Manuf. Order","Agregar orden de fabricación",,
"Add a control entry","Agregar una entrada de control",,
"Add a control plan","Agregar un plan de control",,
"Add a new sale order line","Agregar una nueva línea de pedido de venta",,
"All Child MO","Todas las órdenes de fabricación hijas",,
"All Current Manufacturing Orders","Todas las órdenes de fabricación actuales",,
"All Upcoming Manufacturing Orders","Todas las próximas órdenes de fabricación",,
"All products has been consumed","Todos los productos han sido consumidos",,
"Allocate","Asignar",,
"Allocate all","Asignar todo",,
"Allow to personalize bill of material","Permitir personalizar la lista de materiales",,
"Allow to personalize production process","Permitir personalizar el proceso de producción",,
"Alternative Bill of materials","Lista de materiales alternativa",,
"Anomalies","Anomalías",,
"App","Aplicación",,
"App Supplychain","Aplicación Cadena de suministro",,
"App manufacturing","Aplicación Fabricación",,
"App production","Aplicación Producción",,
"Applicable","Aplicable",,
"Approval","Aprobación",,
"Are you sure you want to merge those manufacturing orders?","¿Está seguro de que desea fusionar estas órdenes de fabricación?",,
"Are you sure you want to run the calculation ? Calculation can take a long time.","¿Está seguro de que desea ejecutar el cálculo? El cálculo puede tardar mucho tiempo.",,
"As soon as possible","Lo antes posible",,
"At the latest","A más tardar",,
"Auto request qty for manuf orders","Cantidad de solicitud automática para órdenes de fabricación",,
"Automatic email was not sent because no default email account and/or no valid email account was found : please create one.","El correo electrónico automático no fue enviado porque no se encontró una cuenta de correo predeterminada y/o válida: por favor cree una.",,
"Automatically plan after fusion","Planificar automáticamente después de la fusión",,
"Automatically plan the manuf. orders generated from sale order","Planificar automáticamente las órdenes de fabricación generadas desde el pedido de venta",,
"Available stock","Stock disponible",,
"Average Price","Precio promedio",,
"BOM","BOM",,
"BOM currently has no status","La lista de materiales no tiene estado actualmente",,
"BOM is already on draft status","La lista de materiales ya está en estado borrador",,
"BOM.billOfMaterialList","Resumen de componentes",,
"BOM.company","Empresa",,
"BOM.defineSubBillOfMaterial","Definir sub lista de materiales",,
"BOM.hasNoManageStock","Sin gestión de stock",,
"BOM.priority","Prioridad",,
"BOM.qty","Cant.",,
"BOM.residualProducts","Productos residuales",,
"BOM.title","Lista de materiales",,
"BOM.unit","Unidad",,
"BOM.versionNumber","Número de versión",,
"Back to draft","Volver a borrador",,
"Barcode","Código de barras",,
"Barcode Type","Tipo de código de barras",,
"Batchs","Lotes",,
"Bill of material","Lista de materiales",,
"Bill of material line","Línea de lista de materiales",,
"Bill of material line list","Lista de líneas de lista de materiales",,
"Bill of materials","Lista de materiales",,
"Bill of materials import","Importación de lista de materiales",,
"Bill of materials import line","Línea de importación de lista de materiales",,
"Bill of materials import line tree","Árbol de líneas de importación de lista de materiales",,
"Bill of materials import lines","Líneas de importación de lista de materiales",,
"Bill of materials import source","Fuente de importación de lista de materiales",,
"Bill of materials import sources","Fuentes de importación de lista de materiales",,
"Bill of materials imports","Importaciones de lista de materiales",,
"Bill of materials name is too long (maximum 255 characters).","El nombre de la lista de materiales es demasiado largo (máximo 255 caracteres).",,
"BillOfMaterial","Lista de materiales",,
"Bills of material","Listas de materiales",,
"Bills of material filters","Filtros de listas de materiales",,
"Bills of materials","Listas de materiales",,
"Bills of materials generated","Listas de materiales generadas",,
"Binding file","Archivo de vinculación",,
"Block production","Bloquear producción",,
"Blocking comment for production","Comentario de bloqueo para producción",,
"Blocking production reason","Motivo de bloqueo de producción",,
"Blocking production until","Bloqueo de producción hasta",,
"BoM","LdM",,
"BoM line","Línea de LdM",,
"Bom child tree list","Lista árbol de hijos de LdM",,
"Bom level","Nivel de LdM",,
"Bom tree list","Lista árbol de LdM",,
"Brand","Marca",,
"Budget item","Partida presupuestaria",,
"Buying currency","Moneda de compra",,
"Buying date","Fecha de compra",,
"Buying price","Precio de compra",,
"By enabling this, the total cost price will be calculated by considering the real duration (including hours) of production cycle.","Al habilitar esto, el precio de costo total se calculará considerando la duración real (incluidas las horas) del ciclo de producción.",,
"Calculate all BOM levels","Calcular todos los niveles de BOM",,
"Calculation date","Fecha de cálculo",,
"Calculation in progress","Cálculo en progreso",,
"Calculation number","Número de cálculo",,
"Calculation quantity","Cantidad de cálculo",,
"Calculation quantity should not be zero.","La cantidad de cálculo no debe ser cero.",,
"Calculation type","Tipo de cálculo",,
"Calendars","Calendarios",,
"Cancel","Cancelar",,
"Cancel Reason","Motivo de cancelación",,
"Cancel Reasons","Motivos de cancelación",,
"Cancel reason","Motivo de cancelación",,
"Cancel reservation","Cancelar reserva",,
"Canceled","Cancelado",,
"Cancellation","Cancelación",,
"Cancellation confirmation","Confirmación de cancelación",,
"Cancelled MOs","Órdenes de fabricación canceladas",,
"Cancelled Operations","Operaciones canceladas",,
"Cannot add a manufacturing order without a production process. Please check that your chosen bill of materials has a valid production process.","No se puede agregar una orden de fabricación sin un proceso de producción. Por favor verifique que su lista de materiales elegida tenga un proceso de producción válido.",,
"Cannot make BOM applicable that is not validated","No se puede hacer aplicable una lista de materiales que no está validada",,
"Cannot make BOM obsolete that is not applicable","No se puede hacer obsoleta una lista de materiales que no es aplicable",,
"Cannot make prod process applicable that is not validated","No se puede hacer aplicable un proceso de producción que no está validado",,
"Cannot make prod process obsolete that is not applicable","No se puede hacer obsoleto un proceso de producción que no es aplicable",,
"Cannot regenerate because the bill of material is in use in production (one manuf order exist)","No se puede regenerar porque la lista de materiales está en uso en producción (existe una orden de fabricación)",,
"Cannot regenerate because the product is already in production (one manuf order exist)","No se puede regenerar porque el producto ya está en producción (existe una orden de fabricación)",,
"Cannot validate BOM that is not draft","No se puede validar una lista de materiales que no está en borrador",,
"Cannot validate prod process that is not draft","No se puede validar un proceso de producción que no está en borrador",,
"Capacity","Capacidad",,
"Capacity settings","Configuración de capacidad",,
"Category","Categoría",,
"Change allocated qty","Cambiar cantidad asignada",,
"Children MO","Órdenes de fabricación hijas",,
"Code","Código",,
"Comments","Comentarios",,
"Companies","Empresas",,
"Company","Empresa",,
"Company_currency","Moneda de empresa",,
"Completed","Completado",,
"Component","Componente",,
"Components","Componentes",,
"Components default stock location","Ubicación de stock predeterminada de componentes",,
"Components valuation method for BOM","Método de valoración de componentes para BOM",,
"Components valuation method for manuf. order","Método de valoración de componentes para orden de fabricación",,
"Comput. cost","Costo calculado",,
"Compute cost price","Calcular precio de costo",,
"Compute total forecast","Calcular previsión total",,
"Compute work in progress valuation","Calcular valoración del trabajo en proceso",,
"Computed_cost","Costo_calculado",,
"Condition","Condición",,
"Configuration","Configuración",,
"Configuration issue in product %s: the MRP execution was canceled because a loop was detected when searching for components in BOM.","Problema de configuración en el producto %s: la ejecución del MRP fue cancelada porque se detectó un bucle al buscar componentes en la lista de materiales.",,
"Configuration issue: the MRP execution was canceled because a loop was detected when searching for components in BOM.","Problema de configuración: la ejecución del MRP fue cancelada porque se detectó un bucle al buscar componentes en la lista de materiales.",,
"Configurator BOM","BOM del configurador",,
"Configurator BOM component","Componente de BOM del configurador",,
"Configurator BOM components","Componentes de BOM del configurador",,
"Configurator BOM tree view","Vista árbol de BOM del configurador",,
"Configurator BoM","LdM del configurador",,
"Configurator Phase","Fase del configurador",,
"Configurator Phases","Fases del configurador",,
