"key","message","comment","context"
"50 Latest Supplier Orders","50 últimas órdenes de compra",,
"A message template is needed to send a mail","Se necesita una plantilla de mensaje para enviar un correo electrónico",,
"A purchase order has already been created for this call for tenders, are you sure to generate a new one ?","Ya se ha creado una orden de compra para esta solicitud de cotización. ¿Está seguro de que desea generar una nueva?",,
"A tax line is missing","Falta una línea de impuesto",,
"ABC analysis","Análisis ABC",,
"ATI","IVA inc.",,
"AbcAnalysis.endDate","Fecha de fin: ",,
"AbcAnalysis.startDate","Fecha de inicio: ",,
"Accept","Aceptar",,
"Accepted","Aceptado",,
"Actions","Acciones",,
"Advance payment A.T.I. total","Total anticipo con IVA",,
"Advance payment total","Total anticipo",,
"Allow validated order modification","Permitir modificación de órdenes validadas",,
"Allows customizing a default message on quotation requests, which will appear on the printing.","Permite personalizar un mensaje predeterminado en las solicitudes de cotización, que aparecerá en la impresión.",,
"Allows managing a product catalog for each supplier. It will be possible to link products to suppliers and manage a supplier product catalog.","Permite gestionar un catálogo de productos para cada proveedor. Será posible vincular productos a proveedores y gestionar el catálogo de productos de un proveedor.",,
"Amount","Importe",,
"Amount A.T.I.","Importe con IVA",,
"Amount Tax","Importe de impuesto",,
"Amount Tax (via percentages)","Importe de impuesto (por porcentajes)",,
"Amount invoiced W.T.","Importe facturado sin IVA",,
"Amount to be spread over the timetable","Importe a distribuir en el calendario",,
"Analytic distribution","Distribución analítica",,
"Analytic distribution required on purchase order line","Distribución analítica requerida en las líneas de orden de compra",,
"App","Aplicación",,
"App purchase","App Compras",,
"Assigns a number to purchase order lines.","Asigna un número a las líneas de orden de compra.",,
"Attachment","Adjunto",,
"Back to validated order","Volver al estado validado",,
"Base W.T.","Base sin IVA",,
"Buyer","Comprador",,
"Calculated price/Qty","Precio calculado/Cant.",,
"Call for tender","Solicitud de cotización",,
"Call for tender mail template","Plantilla de correo de solicitud de cotización",,
"Call for tenders","Solicitudes de cotización",,
"Call tender","Solicitud de cotización",,
"Call tender name","Nombre de la solicitud de cotización",,
"Call tender need","Necesidad de la solicitud de cotización",,
"Call tender supplier","Proveedor de la solicitud de cotización",,
"Can not cancel already canceled purchase request.","No se puede cancelar una requisición de compra ya cancelada.",,
"Can only accept requested purchase request.","Solo puede aceptar una requisición de compra en estado solicitado.",,
"Can only cancel drafted, requested or validated purchase order.","Solo puede cancelar órdenes de compra en borrador, solicitadas o validadas.",,
"Can only finish validated purchase order.","Solo puede finalizar órdenes de compra validadas.",,
"Can only purchase accepted purchase request.","Solo puede comprar requisiciones de compra aceptadas.",,
"Can only refuse requested purchase request.","Solo puede rechazar una requisición de compra en estado solicitado.",,
"Can only request drafted purchase order.","Solo puede solicitar una orden de compra en borrador.",,
"Can only request drafted purchase request.","Solo puede solicitar una requisición de compra en borrador.",,
"Can only return to draft from canceled purchase request.","Solo puede volver a borrador desde una requisición cancelada.",,
"Can only return to draft from cancelled purchase order.","Solo puede volver a borrador desde una orden de compra cancelada.",,
"Can only validate requested purchase order.","Solo puede validar una orden de compra solicitada.",,
"Cancel","Cancelar",,
"Cancel receipt","Cancelar recepción",,
"Canceled","Cancelado",,
"Characteristics","Características",,
"ChartPO.saleOrder","Pedidos de venta",,
"Closed Purchase orders","Órdenes de compra cerradas",,
"Code","Código",,
"Comment","Comentario",,
"Company","Empresa",,
"Company bank","Banco de la empresa",,
"Company currency","Moneda de la empresa",,
"Company for which the configurations are made.","Empresa para la cual se realizan las configuraciones.",,
"Configuration","Configuración",,
"Confirm","Confirmar",,
"Confirm merge purchase order","Confirmar fusión de orden de compra",,
"Confirmation","Confirmación",,
"Contact","Contacto",,
"Contact partner","Contacto del socio",,
"Contacts","Contactos",,
"Content","Contenido",,
"Currency","Moneda",,
"Current purchase quotations / orders","Cotizaciones/órdenes de compra en curso",,
"Dashboard","Panel de control",,
"Date","Fecha",,
"Dates","Fechas",,
"Default unit","Unidad predeterminada",,
"Delivery","Entrega",,
"Description","Descripción",,
"Description To Display","Descripción a mostrar",,
"Desired receipt date","Fecha de recepción deseada",,
"Discount amount","Importe de descuento",,
"Discount rate","Tasa de descuento",,
"Discount type","Tipo de descuento",,
"Display buyer on printing","Mostrar comprador en la impresión",,
"Display price on requested purchase printing","Mostrar precio en la impresión de solicitud de compra",,
"Display product code on printing","Mostrar código de producto en la impresión",,
"Display product detail on printing","Mostrar detalle del producto en la impresión",,
"Display purchase order line number","Mostrar número de línea de orden de compra",,
"Display supplier code on printing","Mostrar código de proveedor en la impresión",,
"Display tax detail on printing","Mostrar detalle de impuesto en la impresión",,
"Displayed Product name","Nombre de producto a mostrar",,
"Displays the product description (description field from the product form) on purchase order lines.","Muestra la descripción del producto (campo descripción del formulario de producto) en las líneas de orden de compra.",,
"Draft","Borrador",,
"Edit order","Editar orden",,
"Enable product description copy","Activar copia de descripción del producto",,
"End date","Fecha de fin",,
"Estim. receipt date","Fecha de recepción est.",,
"Estimated receipt date","Fecha de recepción estimada",,
"Filter on supplier","Filtrar por proveedor",,
"Filter products by trading name","Filtrar productos por nombre comercial",,
"Finish the order","Finalizar la orden",,
"Finished","Finalizado",,
"Fiscal position","Posición fiscal",,
"Fixed Assets","Activos fijos",,
"Follow-up","Seguimiento",,
"Freeze fields","Bloquear campos",,
"From Date","Desde la fecha",,
"Full name","Nombre completo",,
"Generate PO","Generar orden de compra",,
"Generate call for tenders","Generar solicitudes de cotización",,
"Generate control invoice","Generar factura de control",,
"Generate purchase configurations","Generar configuraciones de compra",,
"Generate purchase order","Generar orden de compra",,
"Generate supplier arrival","Generar recepción de proveedor",,
"Generate suppliers requests","Generar solicitudes de proveedor",,
"Group by product","Agrupar por producto",,
"Group by supplier","Agrupar por proveedor",,
"Group products on printings","Agrupar productos en impresiones",,
"Historical","Histórico",,
"Historical Period","Período histórico",,
"If this option is enabled, a panel allowing to purchase this product by trading name appears on product forms. This allows defining which products trading names can purchase, and filtering only purchasable products by trading name on quotations.","Si esta opción está activada, aparece en los formularios de producto un panel que permite comprar este producto por nombre comercial. Esto permite definir qué productos pueden comprar los nombres comerciales y filtrar solo los productos comprables por nombre comercial en las cotizaciones.",,
"If this option is enabled, it is mandatory that on each order line (Analytics tab), the Analytic distribution template field is filled in.","Si esta opción está activada, es obligatorio que en cada línea de orden (pestaña Analítica), el campo Plantilla de distribución analítica esté completado.",,
"In ATI","Con IVA",,
"In Stock Moves","Recepciones de proveedor",,
"Information","Información",,
"Internal Note","Nota interna",,
"Internal Ref.","Ref. interna",,
"Internal note","Nota interna",,
"Internal purchase requests","Requisiciones de compra internas",,
"Invoice Lines","Líneas de factura",,
"Invoiced","Facturado",,
"Invoices","Facturas",,
"Invoicing","Facturación",,
"It is not possible to delete a validated order.","No es posible eliminar una orden validada.",,
"It is possible to choose whether quotations/orders are always established excluding tax, always including tax, by default excluding tax, or by default including tax. The by default excluding tax and by default including tax options allow case-by-case modification (via a checkbox).","Es posible elegir si las cotizaciones/órdenes se establecen siempre sin IVA, siempre con IVA, por defecto sin IVA, o por defecto con IVA. Las opciones por defecto sin IVA y por defecto con IVA permiten la modificación caso por caso (mediante una casilla de verificación).",,
"Last update","Última actualización",,
"Line Nbr.","N.° de línea",,
"List of purchase orders to merge is empty","La lista de órdenes de compra a fusionar está vacía",,
"MRP","MRP",,
"Mail template","Plantilla de correo",,
"Mails","Correos electrónicos",,
"Mails successfully planned for sending.","Correos electrónicos planificados correctamente para envío.",,
"Manage call for tender","Gestionar solicitudes de cotización",,
"Manage multiple purchase quantity","Gestionar cantidades múltiples de compra",,
"Manage purchase order versions","Gestionar versiones de órdenes de compra",,
"Manage purchases unit on products","Gestionar unidades de compra en productos",,
"Manage supplier catalog","Gestionar catálogo de proveedores",,
"Manual","Manual",,
"Maps","Mapas",,
"Max purchase price","Precio máximo de compra",,
"Merge into single purchase order","Fusionar en una sola orden de compra",,
"Merge purchase orders","Fusionar órdenes de compra",,
"Merge quotations","Fusionar cotizaciones",,
"Message for requesting prices","Mensaje de solicitud de precios",,
"Month","Mes",,
"Multiple quantities","Cantidades múltiples",,
"My Closed Purchase orders","Mis órdenes de compra cerradas",,
"My Ongoing Purchase orders","Mis órdenes de compra en curso",,
"My Orders to process","Mis órdenes a procesar",,
"My Purchase orders","Mis órdenes de compra",,
"My RFQs","Mis solicitudes de cotización",,
"My RFQs and POs To Validate","Mis solicitudes de cotización y órdenes a validar",,
"My Sales","Mis ventas",,
"My Validated POs","Mis órdenes de compra validadas",,
"My purchased amount by product accounting family","Mi volumen de compras (importe) por familia contable de productos",,
"My purchased qty by product accounting family","Mi volumen de compras (cant.) por familia contable de productos",,
"Nbr of PO by month","N.° de órdenes de compra por mes",,
"New product","Nuevo producto",,
"New version","Nueva versión",,
"No selected offer.","Ninguna oferta seleccionada.",,
"Not invoiced","No facturado",,
"Not received","No recibido",,
"OR","O",,
"Offer mail","Correo de oferta",,
"Offered date","Fecha de la oferta",,
"Offered price","Precio de la oferta",,
"Offered quantity","Cantidad de la oferta",,
"Offers","Ofertas",,
"On quotation/order printing, displays the buyer name.","En la impresión de cotización/orden, muestra el nombre del comprador.",,
"On quotation/order printing, displays the product code.","En la impresión de cotización/orden, muestra el código del producto.",,
"On quotation/order printing, displays the product description from the product form.","En la impresión de cotización/orden, muestra la descripción del producto desde el formulario del producto.",,
"On quotation/order printing, displays the supplier code.","En la impresión de cotización/orden, muestra el código del proveedor.",,
"On quotation/order printing, displays the tax details (name, rate, and amount).","En la impresión de cotización/orden, muestra el detalle de impuestos (nombre, tasa e importe).",,
"Ongoing Purchase orders","Órdenes de compra en curso",,
"Order Date","Fecha de orden",,
"Order being edited","Orden en edición",,
"Order history","Historial de órdenes",,
"Ordered","Ordenado",,
"PO Management","Gestión de órdenes de compra",,
"PO Tax line","Línea de impuesto de orden de compra",,
"PO Tax lines","Líneas de impuesto de orden de compra",,
"PO line","Línea de orden de compra",,
"PO lines","Líneas de orden de compra",,
"PO lines detail","Detalle",,
"POs Volume by buyer by accounting family","Volumen de órdenes de compra por comprador por familia contable",,
"Partially invoiced","Parcialmente facturado",,
"Partially received","Parcialmente recibido",,
"Percent","Porcentaje",,
"Please enter at least one detail line.","Por favor ingrese al menos una línea de detalle.",,
"Please enter supplier for following purchase request : %s","Por favor ingrese el proveedor para la siguiente requisición de compra: %s",,
"Please fill printing settings on purchase order %s","Por favor complete los parámetros de impresión en la orden de compra %s",,
"Please provide product information.","Por favor proporcione información del producto.",,
"Please select a company before generating purchase order.","Por favor seleccione una empresa antes de generar la orden de compra.",,
"Please select a product.","Por favor seleccione un producto.",,
"Please select the purchase order(s) to print.","Por favor seleccione la(s) orden(es) de compra a imprimir.",,
"Price List","Lista de precios",,
"Price list","Lista de precios",,
"Price lists","Listas de precios",,
"Print","Imprimir",,
"Printing","Impresión",,
"Printing settings","Parámetros de impresión",,
"Printings","Impresiones",,
"Product","Producto",,
"Product Accounting Family","Familia contable de productos",,
"Product code","Código de producto",,
