"key","message","comment","context"
"% VOC","% VOC",,
"Acceptance","Aceptación",,
"Acceptance required","Aceptación requerida",,
"Accepted","Aceptado",,
"Accepted quantity","Cantidad aceptada",,
"Action","Acción",,
"Action distribution sequence","Secuencia de distribución de acción",,
"Action distribution template","Plantilla de distribución de acción",,
"Action plan","Plan de acción",,
"Action proposed","Acción propuesta",,
"Actions","Acciones",,
"Activate the version","Activar la versión",,
"Active version","Versión activa",,
"Active version ?","¿Versión activa?",,
"Add a characteristic control","Agregar un control de característica",,
"Add a complete control","Agregar un control completo",,
"Add a quality improvement","Agregar una mejora de calidad",,
"Add optional control points","Agregar puntos de control opcionales",,
"Advancement","Avance",,
"Alert calendar","Calendario de alertas",,
"All fields related to the order will be reset, continue ?","Todos los campos relacionados con el pedido serán restablecidos, ¿continuar?",,
"Analysis","Análisis",,
"Analysis Method","Método de análisis",,
"Analysis costs","Costos de análisis",,
"Analysis method line","Línea de método de análisis",,
"Analysis method lines","Líneas de método de análisis",,
"Analysis methods","Métodos de análisis",,
"Answer comment","Comentario de respuesta",,
"Answer required","Respuesta requerida",,
"Answered by","Respondido por",,
"Answered on","Respondido el",,
"App","Aplicación",,
"App quality","Aplicación calidad",,
"Applicable","Aplicable",,
"Automatic mail by completing quality control","Envío automático de correo al completar el control de calidad",,
"Available","Disponible",,
"Available documents","Documentos disponibles",,
"Branch","Rama",,
"Calendar","Calendario",,
"Cancel","Cancelar",,
"Canceled","Cancelado",,
"Cancelled Status","Estado cancelado",,
"Cancelled status already exists.","El estado cancelado ya existe.",,
"Carbon footprint (kg CO2 equivalent)","Huella de carbono (kg CO2 equivalente)",,
"Causal analysis","Análisis causal",,
"Cause","Causa",,
"Cause analysis","Análisis de causas",,
"Causes","Causas",,
"Causes written by","Causas redactadas por",,
"Causes written on","Causas redactadas el",,
"Changing this value will change value of product, continue ?","Cambiar este valor modificará el valor del producto, ¿continuar?",,
"Characteristic","Característica",,
"Characteristic or sample does not belong to this control entry.","La característica o muestra no pertenece a este registro de control.",,
"Characteristic property","Propiedad de característica",,
"Characteristic type","Tipo de característica",,
"Characteristics","Características",,
"Characteristics properties","Propiedades de características",,
"Characteristics types","Tipos de características",,
"Check","Verificación",,
"Check conformity","Verificar conformidad",,
"Choose quality process","Elegir proceso de calidad",,
"Close","Cerrar",,
"Closed Status","Estado cerrado",,
"Closed status already exists.","El estado cerrado ya existe.",,
"Code","Código",,
"Coefficient","Coeficiente",,
"Comment","Comentario",,
"Company","Empresa",,
"Company for which the configurations are set.","Empresa para la que se establecen las configuraciones.",,
"Compliant","Conforme",,
"Configuration","Configuración",,
"Configurations by company","Configuraciones por empresa",,
"Confirm","Confirmar",,
"Confirmed","Confirmado",,
"Conformity","Conformidad",,
"Conformity formula can not be fetched","No se puede obtener la fórmula de conformidad",,
"Conforms","Conforme",,
"Contact","Contacto",,
"Control","Control",,
"Control Frequency","Frecuencia de control",,
"Control Points","Puntos de control",,
"Control comment","Comentario del control",,
"Control entries","Registros de control",,
"Control entry","Registro de control",,
"Control entry sample","Muestra de registro de control",,
"Control entry sample line","Línea de muestra de registro de control",,
"Control entry sample lines","Líneas de muestra de registro de control",,
"Control entry samples","Muestras de registro de control",,
"Control plan","Plan de control",,
"Control plan characteristics","Características del plan de control",,
"Control plan frequencies","Frecuencias del plan de control",,
"Control plan frequency","Frecuencia del plan de control",,
"Control plan line","Línea del plan de control",,
"Control plan line characteristics","Características de la línea del plan de control",,
"Control plan lines","Líneas del plan de control",,
"Control plans","Planes de control",,
"Control point","Punto de control",,
"Control point list","Lista de puntos de control",,
"Control point model list","Lista de modelos de puntos de control",,
"Control point name","Nombre del punto de control",,
"Control point type","Tipo de punto de control",,
"Control points","Puntos de control",,
"Control type","Tipo de control",,
"Corrective","Correctiva",,
"Corrective actions","Acciones correctivas",,
"Corrective actions list","Lista de acciones correctivas",,
"Costs list per decision","Lista de costos por decisión",,
"Create control entry samples","Crear muestras de registro de control",,
"Create quality improvement","Crear mejora de calidad",,
"Critical","Crítico",,
"Criticality","Criticidad",,
"Custom frequency","Frecuencia personalizada",,
"Customer","Cliente",,
"Customer Order","Pedido de cliente",,
"Customer Order line","Línea de pedido de cliente",,
"Customer contact","Contacto del cliente",,
"Customer delivery note","Albarán de entrega al cliente",,
"Customer delivery note line","Línea de albarán de entrega al cliente",,
"Customer signature","Firma del cliente",,
"Date","Fecha",,
"Deadline","Fecha límite",,
"Decision","Decisión",,
"Decision distribution sequence","Secuencia de distribución de decisión",,
"Decision distribution template","Plantilla de distribución de decisión",,
"Decision making","Toma de decisiones",,
"Decisions","Decisiones",,
"Decisions written by","Decisiones redactadas por",,
"Decisions written on","Decisiones redactadas el",,
"Defect","Defecto",,
"Defect written by","Defectos redactados por",,
"Defect written on","Defectos redactados el",,
"Defects","Defectos",,
"Density","Densidad",,
"Description","Descripción",,
"Details","Detalles",,
"Detected by (internal)","Detectado por (interno)",,
"Detection","Detección",,
"Detection origin is customer but no customer is provided.","El origen de la detección es el cliente pero no se ha proporcionado ningún cliente.",,
"Detection origin is supplier but no supplier is provided.","El origen de la detección es el proveedor pero no se ha proporcionado ningún proveedor.",,
"Detections","Detecciones",,
"Direct cost","Costo directo",,
"Distribution","Distribución",,
"Distribution of costs per decision","Distribución de costos por decisión",,
"Distributions","Distribuciones",,
"Dms file","Archivo DMS",,
"Document ID","ID del documento",,
"Document n°","Documento n°",,
"Document reference","Referencia del documento",,
"Documentary","Documental",,
"Done","Hecho",,
"Draft","Borrador",,
"Earliest date","Fecha más temprana",,
"Edit control points","Editar puntos de control",,
"Editable","Editable",,
"Efficiency","Eficacia",,
"Efficiency Criteria","Criterio de eficacia",,
"Efficiency checked by","Eficacia verificada por",,
"Efficiency checked on","Eficacia verificada el",,
"Employee","Empleado",,
"End date","Fecha de fin",,
"Entry attrs","Atributos de registro",,
"Entry date","Fecha de registro",,
"Entry sample line","Línea de muestra de registro",,
"Evaluation of the conformity formula failed, please make sure that every required fields for the evaluation are filled.","La evaluación de la fórmula de conformidad ha fallado, por favor asegúrese de que todos los campos requeridos para la evaluación estén completados.",,
"Excepted result for formula is either true (compliant) or false (not compliant). Current result = %s","El resultado esperado para la fórmula es verdadero (conforme) o falso (no conforme). Resultado actual = %s",,
"Expected value","Valor esperado",,
"Export selected files","Exportar archivos seleccionados",,
"External Diffusion","Difusión externa",,
"File","Archivo",,
"Finish","Terminar",,
"Finished","Terminado",,
"Fixed amount","Importe fijo",,
"Formula","Fórmula",,
"Frequency","Frecuencia",,
"From Date","Fecha desde",,
"Full name","Nombre completo",,
"Generate distributions","Generar distribuciones",,
"Generate distributions for other","Generar distribuciones para otros",,
"Generate distributions for responsibles","Generar distribuciones para responsables",,
"Generate quality configurations","Generar configuraciones de calidad",,
"Generated file","Archivo generado",,
"Gravity","Gravedad",,
"High","Alto",,
"Identification","Identificación",,
"In progress","En progreso",,
"Inspector","Inspector",,
"Inspector signature","Firma del inspector",,
"Internal","Interno",,
"Internal Diffusion","Difusión interna",,
"Interne","Interno",,
"Items","Elementos",,
"Label","Etiqueta",,
"Latest date","Fecha más tardía",,
"Level","Nivel",,
"Linked to","Vinculado a",,
"List","Lista",,
"Low","Bajo",,
"Major","Mayor",,
"Manual","Manual",,
"Manual Identification","Identificación manual",,
"Manuf Order consummed product","Producto consumido de la OF",,
"Manuf Order product to consume","Producto a consumir de la OF",,
"ManufOrder","Orden de fabricación",,
"Manufacturing Order","Orden de fabricación",,
"Max value","Valor máximo",,
"Measurable","Medible",,
"Measured value","Valor medido",,
"Measuring Type","Tipo de medición",,
"Measuring point list","Lista de puntos de medición",,
"Measuring points","Puntos de medición",,
"Meta files","Metarchivos",,
"Min value","Valor mínimo",,
"Minor","Menor",,
"Model for quality control","Modelo para control de calidad",,
"My alerts","Mis alertas",,
"My quality controls","Mis controles de calidad",,
"My team alerts","Alertas de mi equipo",,
"My team quality controls","Controles de calidad de mi equipo",,
"Name","Nombre",,
"New","Nuevo",,
"New version","Nueva versión",,
"No","No",,
"No checked","No verificado",,
"No status have been found for the QA, please register at least one in the configurations","No se encontró ningún estado para el AC, por favor registre al menos uno en las configuraciones",,
"Non-Conforming quantity","Cantidad no conforme",,
"Non-compliant","No conforme",,
"Normal","Normal",,
"Not assessed","No evaluado",,
"Not compliant","No conforme",,
"Not controlled","No controlado",,
"Note","Nota",,
"Notes","Notas",,
"Number","Número",,
"Number of quality alerts by team","Número de alertas de calidad por equipo",,
"Number of quality control by team","Número de controles de calidad por equipo",,
"Number of solved quality alerts by team","Número de alertas de calidad resueltas por equipo",,
"Objective","Objetivo",,
"Observations","Observaciones",,
"Observed defects","Defectos observados",,
"Observed value","Valor observado",,
"Obsolete","Obsoleto",,
"On hold","En espera",,
"Open in new tab","Abrir en nueva pestaña",,
"Operation line","Línea de operación",,
"OperationOrder","Orden de operación",,
"Optional control point list","Lista de puntos de control opcionales",,
"Optional control points","Puntos de control opcionales",,
"Optional quality control","Control de calidad opcional",,
"Optional quality process","Proceso de calidad opcional",,
"Origin","Origen",,
"Partially accepted","Parcialmente aceptado",,
"Partner","Socio",,
"Pause","Pausa",,
"Pictures","Imágenes",,
"Plan","Planificar",,
"Plan attrs","Atributos del plan",,
"Plan line","Línea del plan",,
"Plan owner","Responsable del plan",,
"Planned","Planificado",,
"Please complete all control points","Por favor complete todos los puntos de control",,
"Please configure a sequence for action distribution.","Por favor configure una secuencia para la distribución de acciones.",,
"Please configure a sequence for decision distribution.","Por favor configure una secuencia para la distribución de decisiones.",,
"Please configure information for quality for the company %s","Por favor configure la información de calidad para la empresa %s",,
"Please fill printing settings on quality control","Por favor complete los parámetros de impresión en el control de calidad",,
"Please provide one of the two fields, characteristicId or sampleId, in request body.","Por favor proporcione uno de los dos campos, characteristicId o sampleId, en el cuerpo de la solicitud.",,
"Please select at least a line to generate a distribution.","Por favor seleccione al menos una línea para generar una distribución.",,
"Please select at least a line to send a distribution.","Por favor seleccione al menos una línea para enviar una distribución.",,
"Please select records having files for export","Por favor seleccione registros que tengan archivos para exportar",,
"Pre-fill control points","Rellenar previamente los puntos de control",,
"Preventive","Preventiva",,
"Preventive actions","Acciones preventivas",,
"Print","Imprimir",,
"Printing settings","Parámetros de impresión",,
"Priority","Prioridad",,
"Process","Proceso",,
"Processes","Procesos",,
"ProdProcessLine","Línea de proceso de producción",,
"Product","Producto",,
"Product characteristic","Característica del producto",,
"Product characteristics","Características del producto",,
"Product set","Conjunto de productos",,
"Product/ManufOrder fields should not be filled if type is 'System'.","Los campos Producto/Orden de fabricación no deben estar completados si el tipo es 'Sistema'.",,
"Project","Proyecto",,
"Propose action","Proponer acción",,
"Provided data does not match with detection origin %s.","Los datos proporcionados no coinciden con el origen de detección %s.",,
"Purchase order","Pedido de compra",,
"QI","MI",,
"QI Action distribution","Distribución de acciones MI",,
"QI Analysis Cause","Causa",,
"QI Analysis Causes","Causas",,
"QI Decision Distribution","Distribución de decisiones MI",,
"QI Decision config company","Config. empresa decisiones MI",,
"QI Decision distribution","Distribución de decisiones MI",,
"QI Resolution Decision","Decisión",,
"QI Resolution Decisions","Decisiones",,
"QI Resolution Defect","Defecto",,
"QI Resolution Defects","Defectos",,
"QI Task","Tarea",,
"QI Tasks","Tareas",,
"QIProcess.manager","Responsable",,
"Quality","Calidad",,
"Quality Control","Control de calidad",,
"Quality Dashboard","Panel de calidad",,
"Quality Improvement","Mejora de calidad",,
"Quality alert","Alerta de calidad",,
"Quality alert filters","Filtros de alertas de calidad",,
"Quality alerts","Alertas de calidad",,
"Quality audit","Auditoría de calidad",,
"Quality audit calendar","Calendario de auditorías de calidad",,
"Quality audits","Auditorías de calidad",,
"Quality config","Config. calidad",,
"Quality config (${ name })","Config. calidad (${ name })",,
"Quality configuration","Configuración de calidad",,
"Quality configurations","Configuraciones de calidad",,
"Quality control","Control de calidad",,
"Quality control calendar","Calendario de controles de calidad",,
"Quality control filters","Filtros de controles de calidad",,
"Quality improvement","Mejora de calidad",,
"Quality improvement successfully updated.","La mejora de calidad se ha actualizado correctamente.",,
"Quality improvements","Mejoras de calidad",,
"Quality process","Proceso de calidad",,
"Quality processes","Procesos de calidad",,
"Quality teams","Equipos de calidad",,
"QualityControl.coefficient","Coeficiente",,
"QualityControl.correctiveActions","ACCIONES CORRECTIVAS",,
"QualityControl.customerSignature","CLIENTE",,
"QualityControl.endDate","FECHA",,
"QualityControl.finalNote","Nota final",,
"QualityControl.generalObservation","Observación general",,
"QualityControl.inspectorSignature","INSPECTOR",,
"QualityControl.measuringNote","Nota",,
"QualityControl.observation","Observación",,
"QualityControl.project","PROYECTO",,
"QualityControl.projectClient","CLIENTE",,
"QualityControl.qualityControlTitle","CONTROL DE CALIDAD",,
"QualityControl.reference","Referencia",,
"QualityControl.responsible","RESPONSABLE",,
"QualityControl.total","Total",,
"Quantity","Cantidad",,
"Quantity can not be greater than non conforming quantity","La cantidad no puede ser mayor que la cantidad no conforme",,
"Recipient","Destinatario",,
"Recipient name","Nombre del destinatario",,
"Reference","Referencia",,
"Register response","Registrar respuesta",,
"Rejected","Rechazado",,
"Rejected quantity","Cantidad rechazada",,
"Related to","Relacionado con",,
"Related to select","Relacionado con",,
"Reportings","Informes",,
"Required","Requerido",,
"Required document","Documento requerido",,
"Required documents","Documentos requeridos",,
"Required documents filters","Filtros de documentos requeridos",,
"Resolution","Resolución",,
"Responsible","Responsable",,
"Responsible name","Nombre del responsable",,
"Responsible partner","Socio responsable",,
"Responsible partner type","Tipo de socio responsable",,
"Result","Resultado",,
"Root cause","Causa raíz",,
"Root causes","Causas raíz",,
"Sale order","Pedido de venta",,
"Sample","Muestra",,
"Sample count","Conteo de muestras",,
"Sample frequency","Frecuencia de muestreo",,
"Sample quantity","Cantidad de muestra",,
"Sample type","Tipo de muestra",,
"Select recepient partner for QI Action distribution","Seleccionar socio destinatario para la distribución de acciones MI",,
"Send QI Action distributions","Enviar distribuciones de acciones MI",,
"Send QI Decision distributions","Enviar distribuciones de decisiones MI",,
"Send email","Enviar correo electrónico",,
"Send the distributions","Enviar las distribuciones",,
"Sent","Enviado",,
"Sequence","Secuencia",,
"Similar name already exists","Ya existe un nombre similar",,
"Solve","Resolver",,
"Solved","Resuelto",,
"Some defaults have been skipped as they were incompatibles. (%s line(s))","Algunos defectos han sido omitidos porque no eran compatibles. (%s línea(s))",,
"Source QI","MI de origen",,
"Standby","En pausa",,
"Start","Iniciar",,
"Start date","Fecha de inicio",,
"Status","Estado",,
"Status select","Seleccionar estado",,
"Statuses","Estados",,
"Stock move","Movimiento de stock",,
"Stock move line","Línea de movimiento de stock",,
"StockMoveLine","Línea de movimiento de stock",,
"Sum of accepted quantity and rejected quantity can not be greater than quantity","La suma de la cantidad aceptada y la cantidad rechazada no puede ser mayor que la cantidad",,
