"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : Debe configurar el módulo de Ventas para la empresa %s",,
"%s has been added to your cart.","%s ha sido añadido a su carrito.",,
"A JavaScript boolean expression against the current form values.","Una expresión booleana JavaScript para verificar que el valor introducido por el usuario cumple las expectativas.",,
"A cancel reason must be selected","Se debe seleccionar un motivo de cancelación",,
"ABC analysis","Clasificación ABC",,
"ATI","Con impuestos",,
"AbcAnalysis.endDate","Fecha de fin: ",,
"AbcAnalysis.startDate","Fecha de inicio: ",,
"Accepted Credit","Crédito aceptado",,
"Access to parent sale order","Acceso al pedido de venta padre",,
"Accounted Revenue","Facturación contabilizada",,
"Accounting Family sale turnover (Excl. Tax) per month","Facturación por familia contable (Sin impuestos) por mes",,
"Action","Acción",,
"Actions","Acciones",,
"Activate","Activar",,
"Activate past versions recovery","Activar la recuperación de versiones anteriores",,
"Actual version overwritten.","Versión actual sobreescrita.",,
"Actual version saved, past version recovered.","Versión actual guardada, versión anterior recuperada.",,
"Add Line from Configurator","Añadir línea desde el configurador",,
"Add Pack","Añadir paquete",,
"Add a new sale order line","Añadir una nueva línea de pedido de venta",,
"Add a pack","Añadir un paquete",,
"Add to cart","Añadir al carrito",,
"Adv. payment amount","Importe del pago anticipado",,
"Advance Payment","Pago anticipado",,
"Advance Payments","Pagos anticipados",,
"Advance payment A.T.I. total","Total pago anticipado Con impuestos",,
"Advance payment amount needed","Pago anticipado necesario",,
"Advance payment needed","Requiere pago anticipado",,
"Advance payment total","Total pago anticipado Con impuestos",,
"Advance payments","Pagos anticipados",,
"All customer credit will be updated.","Se actualizarán todos los importes de crédito de clientes.",,
"Allocate","Asignar",,
"Allocate all","Asignar todo",,
"Allocated stock","Stock asignado",,
"Allow pending order modification","Permitir la modificación de pedido confirmado",,
"Allow the duplication of sale quotation line. The line will be recomputed from its configurator if possible.","Permite la duplicación de líneas de cotización. La línea será recalculada desde su configurador si es posible.",,
"Allow the user to apply a global discount on a sale order. Global discount and discount per line are not cumulative.","Permite al usuario aplicar un descuento global en un pedido de venta. El descuento global y el descuento por línea no son acumulables.",,
"Allow to edit configurator values inside the generated sale order line. Product will then be modified and line regenerated.","Permite editar los valores del configurador dentro de una línea de pedido de venta generada. El producto será modificado y la línea regenerada.",,
"Allows assigning a number to quotation/order lines and displaying it on the quotation.","Permite asignar un número a las líneas de cotización/pedido y mostrarlo en la cotización.",,
"Allows defining a maximum accepted credit amount by default for all customers. If a customer exceeds this amount, a salesperson will not be able to confirm a new order. An administrator can manually unblock the customer. This credit amount is found on customer forms (Accounting information tab). It can be modified on a case-by-case basis for each customer.","Permite definir un importe máximo de crédito aceptado por defecto para todos los clientes. Si un cliente supera este importe, un comercial no podrá confirmar un nuevo pedido. Un administrador puede desbloquear al cliente manualmente. Este importe de crédito se encuentra en las fichas de cliente (pestaña Información contable). Se puede modificar caso a caso para cada cliente.",,
