"key","message","comment","context"
"${fullName} plan. st. move","${fullName} mov. st. plan.",,
"${fullName} real st. move","${fullName} mov. st. real",,
"%) on the WAP of","% de evolución) sobre el PMP de",,
"%s Reverse stock move (From %s)","%s Invertir movimiento de stock (Desde %s)",,
"<><Badge bg=""warning"">Warning : Delivery address is missing.</Badge></>","<><Badge bg=""warning"">Advertencia: Falta la dirección de entrega.</Badge></>",,
"<B>%s or %s</B> not found","<B>%s o %s</B> no encontrado",,
"A cancel reason must be selected","Se debe seleccionar un motivo de cancelación.",,
"A partial stock move has been generated (%s)","Se ha generado un movimiento de stock parcial (%s)",,
"ABC analysis","Clasificación ABC",,
"AbcAnalysis.stockLocation","Ubicación de stock: ",,
"Account selection to carrier","Selección de cuenta con el transportista",,
"Accounting family","Familia contable",,
"Accounting value","Valor contable",,
"Action","Acción",,
"Actions","Acciones",,
"Activate bar code generation for stock location","Activar la generación de código de barras para ubicaciones de stock",,
"Activate bar code generation for tracking number","Activar la generación de código de barras para números de serie",,
"Add a control entry","Agregar un registro de control",,
"Add stock move(s) to logistical form","Agregar el/los movimiento(s) de stock a una ficha logística",,
"Address","Dirección",,
"Alert","Alerta",,
"All storable products used in DEB must have net mass and mass unit information for customs.","Todos los productos almacenables sujetos a DEB deben tener masa neta y unidad de masa para aduanas.",,
"Allocate","Asignar",,
"Allocate all","Asignar todo",,
"Allocations of costs","Distribución de costos",,
"Allow internal stock move on logistical form","Permitir movimientos internos en fichas logísticas",,
"Allows to add every product from the common stock location","Permite agregar todos los productos de la ubicación fuente común",,
"An error occurred while importing the file data, product not found with code :","Se produjo un error al importar, no se encontró ningún producto con el código:",,
"An error occurred while importing the file data, there are multiple products with code :","Se produjo un error al importar: hay más de un producto con el código:",,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","Se produjo un error al importar. Contacte al administrador de la aplicación.",,
"An incoming partial stock move has been generated (%s)","Se ha generado una recepción parcial (%s)",,
"An outgoing partial stock move has been generated (%s)","Se ha generado una entrega parcial (%s)",,
"App","App",,
"App base","App base",,
"App stock","App Stock",,
"Approved for invoicing","Aprobado para facturación",,
"Archived","Archivado",,
"Are you sure you want to go back to provision ?","¿Está seguro de que desea volver a la puesta a disposición?",,
"Are you sure you want to realize this stock move?","¿Confirma la realización de este movimiento de stock?",,
"Are you sure you want to validate the carrier?","¿Está seguro de que desea validar el transportista?",,
"Arrival product qty","Cantidad de productos recibidos",,
"Arrivals","Recepciones",,
"Arrivals History","Historial de recepciones",,
"Auto product tracking Nbr. order","Selección automática de número de serie a la producción",,
"Auto sale tracking Nbr. order","Selección automática de número de serie en ventas",,
"Auto select product tracking Nbr.","Selección automática de número de serie a la producción",,
"Auto select sale tracking Nbr.","Selección automática de número de serie en ventas",,
"Av. for product","Disp. para el producto",,
"Availability","Disponibilidad",,
"Availability request","Solicitud de puesta a disposición",,
"Available","Disponible",,
"Available qty","Cantidad disponible",,
"Available qty for product","Cantidad disponible por producto",,
"Available status","Disponibilidad",,
"Average","Promedio",,
"Average Price","Precio promedio ponderado",,
"Avg outgoing quantity on 12 past months (One-off sale excluded)","Cantidad promedio vendida en los últimos 12 meses (excl. venta excepcional)",,
"Back to provision","Volver a puesta a disposición",,
"Backorder","Pedido pendiente",,
"Backorder Id","ID pedido pendiente",,
"Backorder Stock Move","Mov. de stock (pedido pendiente)",,
"Bad stock move type","Tipo de movimiento de stock incorrecto",,
"Barcode","Código de barras",,
"Barcode Type","Tipo de código de barras",,
"Barcode type that will be used by default on stock locations.","Tipo de código de barras que se usará por defecto en las ubicaciones de stock.",,
"Barcode type that will be used by default on tracking numbers.","Tipo de código de barras que se usará por defecto en los números de serie.",,
"Barter","Trueque",,
"Batchs","Procesamientos masivos",,
"Both source location address and delivery (to) address are required to define the delivery itinerary","Los campos Ubicación fuente y A la dirección son necesarios para definir el itinerario de entrega.",,
"Buyer","Comprador",,
"Buyer/Seller","Comprador/Vendedor",,
"CSV","CSV",,
"Calculate","Calcular",,
"Can only be validated if provisioned","Solo puede validarse si está puesto a disposición.",,
"Can only cancel a planned or realized stock move.","Solo puede cancelar un movimiento de stock planificado o realizado.",,
"Can only cancel a validated inventory.","Solo puede cancelar un inventario validado.",,
"Can only complete a started inventory.","Solo puede completar un inventario iniciado.",,
"Can only plan a draft inventory.","Solo puede planificar un inventario en borrador.",,
"Can only plan a drafted stock move.","Solo puede planificar un movimiento de stock en borrador.",,
"Can only return to draft if cancelled.","Solo puede volver al estado borrador desde el estado cancelado.",,
"Can only return to provision if was validated or collected","Solo puede volver al estado 'Puesto a disposición' desde 'Validado' o 'Retirado'",,
"Can only start a draft inventory.","Solo puede iniciar un inventario en borrador.",,
"Can only validate a drafted stock correction.","Solo puede validar una corrección de stock en borrador.",,
"Can't delete a line linked to a realized stock move line.","No se puede eliminar una línea vinculada a un movimiento de stock realizado.",,
"Can't delete a planned stock move","No se puede eliminar un movimiento de stock planificado",,
"Can't delete a realized stock move","No se puede eliminar un movimiento de stock realizado",,
"Can't realize this stock move because of the ongoing inventory %s.","No se puede realizar este movimiento de stock debido al inventario en curso %s.",,
"Cancel","Cancelar",,
"Cancel picking","Cancelar la toma",,
"Cancel reason","Motivo de cancelación",,
"Cancel reservation","Cancelar reserva",,
"Cancel storage","Cancelar almacenamiento",,
"Cancelation","Cancelación",,
"Canceled","Cancelado",,
"Cancellation","Cancelación",,
"Cancellation confirmation","Confirmación de cancelación",,
"Cancelled Arrivals","Recepciones canceladas",,
"Cannot go back to draft status.","No es posible volver al estado Borrador.",,
"Cannot realize a stock move that is not planned.","No se puede realizar un movimiento de stock que no está planificado.",,
"Cannot validate an inventory that is not completed.","No puede validar un inventario no completado.",,
"Carriage (Sea/Air) to port of import","Transporte principal",,
"Carriage to place of destination","Transporte hasta el almacén de destino",,
"Carriage to port of export","Transporte hasta la plataforma de salida",,
"Carrier","Transportista",,
"Carrier validated","Transportista validado",,
"Cart contents","Contenido del carrito",,
"Cart stock location content","Productos en la ubicación carrito",,
"Certificate of conformity","Certificado de conformidad",,
"Certificate of conformity title","Título del certificado de conformidad",,
"Change allocated qty","Modificar cantidad asignada",,
"Check Duplicate","Verificar duplicados",,
"Check expiration date at stock move realization","Controlar la fecha de vencimiento al realizar la entrega",,
"Choose a template","Seleccionar una plantilla de mensaje",,
"Code","Código",,
"Collected","Retirado",,
"Collection date","Fecha de retiro",,
"Comment to display on picking order","Comentario a mostrar en la orden de preparación",,
"Comment to display on stock move","Comentario a mostrar en los movimientos de stock",,
"Comments","Comentarios",,
"Comments updated;","Comentarios actualizados.",,
"Commercial regularization resulting in value increase","Regularización comercial que genera aumento de valor",,
"Commercial regularization resulting in value reduction","Regularización comercial que genera reducción de valor",,
"Common destination location","Ubicación de destino común",,
"Common source location","Ubicación fuente común",,
"Company","Empresa",,
"Company Unit price W.T.","Precio unitario sin impuesto de la empresa",,
"Company account","Cuenta de empresa",,
"Company address is empty.","La dirección de la empresa no está completa.",,
"Company cannot be null.","La empresa no puede estar vacía.",,
"Company for which the configurations are set.","Empresa para la que se realizan las configuraciones.",,
"Company missing for stock location %s","Falta la empresa para la ubicación de stock %s",,
"Complete","Completar",,
"Completed","Completado",,
"Compliant","Conforme",,
