"key","message","comment","context"
"Accept","Aceptar",,
"Accepted","Aceptado",,
"Actions","Acciones",,
"Available qty","Cantidad disponible",,
"Cancel","Cancelar",,
"Canceled","Cancelado",,
"Comments","Comentarios",,
"Estim. delivery date","Fecha de entrega estimada",,
"Generate all suppliers requests","Generar todas las solicitudes a proveedores",,
"Generate suppliers purchase orders","Generar pedidos de compra a proveedores",,
"Initial purchase order","Pedido de compra inicial",,
"Manage supplier consultations","Gestionar consultas a proveedores",,
"Not accept","No aceptar",,
"Not accepted","No aceptado",,
"Ordered quantity","Cantidad pedida",,
"Purchase order","Pedido de compra",,
"Purchase order Details","Detalles del pedido de compra",,
"Request","Solicitar",,
"Requested","Solicitado",,
"Show suppliers purchase orders","Ver pedidos de compra a proveedores",,
"State","Estado",,
"Submitted","Enviado",,
"Supplier","Proveedor",,
"Supplier RFQ/PO","Solicitud/Pedido proveedor",,
"Supplier consultations","Consultas a proveedores",,
"Supplier request","Solicitud a proveedor",,
"Supplier's consulting's request created","Solicitud de consulta a proveedor creada",,
"Suppliers orders' generation over","Generación de pedidos a proveedores finalizada",,
"Suppliers purchase","Compras a proveedores",,
"Suppliers requests","Solicitudes a proveedores",,
"This option enables the management of supplier consultation requests, allowing you to send quotation requests to multiple suppliers for the same product.","Esta opción habilita la gestión de solicitudes de consulta a proveedores, permitiendo enviar solicitudes de cotización a múltiples proveedores para el mismo producto.",,
"Tools","Herramientas",,
"Unit price","Precio unitario",,
"WARNING : To Date must be after or equals to From Date","ADVERTENCIA: La fecha hasta debe ser posterior o igual a la fecha desde",,
"Write to the supplier","Escribir al proveedor",,
"suppliers requests","Solicitudes a proveedores",,
