"key","message","comment","context"
"Add on catalog","Añadir al catálogo",,
"All my invoices","Todas mis facturas",,
"Allow supplier to create products","Permitir al proveedor crear productos",,
"App","Aplicación",,
"App Supplier Portal","Aplicación Portal de proveedor",,
"App supplier portal","Aplicación portal de proveedor",,
"Awaiting invoice","Factura pendiente",,
"Awaiting invoices","Facturas pendientes",,
"Catalog","Catálogo",,
"Code","Código",,
"Create new product","Crear nuevo producto",,
"Deliveries to prepare","Entregas a preparar",,
"Delivery","Entrega",,
"Description","Descripción",,
"Display product catalog","Mostrar catálogo de productos",,
"Displaying module portal","Mostrar módulo portal",,
"Due date","Fecha de vencimiento",,
"Invoice","Factura",,
"Invoice date","Fecha de factura",,
"Invoice supplier","Factura de proveedor",,
"Invoicing","Facturación",,
"Last delivery","Última entrega",,
"Last order","Último pedido",,
"Manage delivery","Gestionar entregas",,
"Manage invoices","Gestionar facturas",,
"Manage purchase orders","Gestionar pedidos de compra",,
"My deliveries","Mis entregas",,
"My invoices","Mis facturas",,
"My purchase orders","Mis pedidos de compra",,
"My space","Mi espacio",,
"Name","Nombre",,
"Next delivery","Próxima entrega",,
"None","Ninguno",,
"Orders","Pedidos",,
"Overdue invoices","Facturas vencidas",,
"Partner","Tercero",,
"Picture","Imagen",,
"Please download a PDF file for invoice.","Por favor, descargue un archivo PDF para la factura.",,
"Product","Producto",,
"Product created","Producto creado",,
"Product has no code.","El producto no tiene código.",,
"Product has no name.","El producto no tiene nombre.",,
"Product supplier","Producto de proveedor",,
"Purchase currency","Moneda de compra",,
"Purchase order","Pedido de compra",,
"Purchase orders","Pedidos de compra",,
"Purchase price W.T.","Precio de compra sin impuestos",,
"Purchase unit","Unidad de compra",,
"Quotation In Progress","Presupuesto en curso",,
"Quotation in progress","Presupuesto en curso",,
"Receipt date","Fecha de recepción",,
"Stock move","Movimiento de inventario",,
"Stock move information","Información de movimiento de inventario",,
"Stock move line","Línea de movimiento de inventario",,
"Stock move lines","Líneas de movimiento de inventario",,
"Stock move reference","Referencia de movimiento de inventario",,
"Stock moves","Movimientos de inventario",,
"The code is already in database. Please choose another one.","El código ya existe en la base de datos. Por favor, elija otro.",,
"Total remaining","Total pendiente",,
"value:Supplier Portal","Portal de proveedor",,
