"key","message","comment","context"
"+10 years","+10 años",,
"0 %","0 %",,
"0-2 years","0-2 años",,
"10 %","10 %",,
"100 %","100 %",,
"2-5 years","2-5 años",,
"20 %","20 %",,
"30 %","30 %",,
"40 %","40 %",,
"5-10 years","5-10 años",,
"50 %","50 %",,
"60 %","60 %",,
"70 %","70 %",,
"80 %","80 %",,
"90 %","90 %",,
"A new employee form will be created. Do you confirm the creation ?","Se creará un nuevo formulario de empleado. ¿Confirma la creación?",,
"Actions","Acciones",,
"Address","Dirección",,
"All applications","Todas las candidaturas",,
"All trainings","Todas las capacitaciones",,
"App","Aplicación",,
"App recruitment","Aplicación de reclutamiento",,
"Applicants","Candidatos",,
"Application date","Fecha de candidatura",,
"Application information","Información de candidatura",,
"Applied job","Oferta de empleo",,
"Appraisal","Evaluación",,
"Appraisal cancelled","Evaluación cancelada",,
"Appraisal draft","Evaluación borrador",,
"Appraisal filters","Filtros de evaluación",,
"Appraisal realized","Evaluación realizada",,
"Appraisal sent","Evaluación enviada",,
"Appraisal template","Plantilla de evaluación",,
"Appraisal templates","Plantillas de evaluaciones",,
"Appraisal type","Tipo de evaluación",,
"Appraisal types","Tipos de evaluaciones",,
"Appraisals","Evaluaciones",,
"Appreciation","Apreciación",,
"Availability from","Disponibilidad desde",,
"Business sectors","Sectores de actividad",,
"CV","CV",,
"Cadre","Cuadro",,
"Calendar","Calendario",,
"Call Event(${ fullName})","Llamada Evento(${ fullName})",,
"Cancel","Cancelar",,
"Cancel session","Cancelar sesión",,
"Canceled","Cancelado",,
"Career","Trayectoria",,
"Categories","Categorías",,
"Category","Categoría",,
"Certification","Certificación",,
"Certification name","Nombre de la certificación",,
"Certifications","Certificaciones",,
"Citizenship","Nacionalidad",,
"Civility","Tratamiento",,
"Clearance","Autorización",,
"Close","Cerrar",,
"Closed","Cerrado",,
"Closed job offers","Ofertas de empleo cerradas",,
"Code","Código",,
"Cohabiting / Living together","Convivencia / Pareja de hecho",,
"Commentary","Comentarios",,
"Company","Empresa",,
"Company Department","Departamento",,
